Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,3.8992322093898177e-20,1.3653030666863603e-20,1.0946084796584924e-19,-2.021798693496363e-20,-8.558195041213789e-19,6.5488865124964525e-21,6.536645445512938e-21,-6.356090918864684e-20,1.3413778036805076e-19,1.3313869369906091e-19,2.1058386539347148e-21,0.010000000000000004
2,8.38871589171797e-20,4.703829508787529e-20,9.960034128475254e-20,-1.209615213343461e-21,-1.527484549411483e-18,1.8689229663803215e-20,1.4337009740869372e-20,-1.141389999144331e-19,1.3698226735479797e-19,3.170517234513056e-19,2.2343489824731934e-21,0.009000000000000005
3,1.1941310515486588e-19,7.360997631801595e-20,9.061732746021669e-20,1.4199262033302335e-20,-2.0562583906023526e-18,2.833601531972366e-20,2.051193472269936e-20,-1.5396586340317564e-19,1.379164791405152e-19,4.628507603161109e-19,2.3160988587646292e-21,0.008100000000000005
4,1.46994990555843e-19,9.439693835124964e-20,8.243491298774049e-20,2.653845998275242e-20,-2.4640026180609335e-18,3.586655154782198e-20,2.5308504610754634e-20,-1.8468596419502534e-19,1.37294025895541e-19,5.763194725734422e-19,2.359155269973046e-21,0.007290000000000006
5,1.67866367825076e-19,1.102904082146564e-19,7.498280813515737e-20,3.6267825721979483e-20,-2.7696354161217745e-18,4.16076203771034e-20,2.894064117397183e-20,-2.0772238619447336e-19,1.3541689850815644e-19,6.624659347761461e-19,2.3704394103521334e-21,0.006561000000000006
6,1.8309351973490393e-19,1.2206121472186925e-19,6.819677512321347e-20,4.3785933713533626e-20,-2.989501628389838e-18,4.5841809925050316e-20,3.159326537843802e-20,-2.2430466415208153e-19,1.3254225633929338e-19,7.25619909812575e-19,2.355875169955673e-21,0.005904900000000006
7,1.9359657758451548e-19,1.303749558454929e-19,6.201812063230677e-20,4.943774184955715e-20,-3.1376982440430713e-18,4.8813085359636816e-20,3.342595833027124e-20,-2.3549326265622334e-19,1.2888837361912136e-19,7.695184304939566e-19,2.3205193835349834e-21,0.005314410000000006
8,2.0016808866685564e-19,1.358053365971731e-19,5.639322928834929e-20,5.3521329021240654e-20,-3.2263605202817595e-18,5.073168760805551e-20,3.4576180037953413e-20,-2.4220109481801597e-19,1.246398448795908e-19,7.973810479409362e-19,2.2686760026988754e-21,0.004782969000000007
9,2.034893317568826e-19,1.3884589164006229e-19,5.127313500686023e-20,5.62938213400919e-20,-3.2659133588322795e-18,5.1778438553194096e-20,3.516209782079642e-20,-2.452124279208879e-19,1.1995213815177512e-19,8.119759575935804e-19,2.2039961041946393e-21,0.004304672100000006
10,2.041446453422356e-19,1.3992028230840187e-19,4.6613127288785494e-20,5.79766019049605e-20,-3.265292024469878e-18,5.2108522433224414e-20,3.5285070246691285e-20,-2.451994834550052e-19,1.1495557432072667e-19,8.156780748362864e-19,2.1295654253642614e-21,0.0038742048900000064
