Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,-2.29404628907575e-19,1.1025344294995292e-19,4.410137717998117e-19,7.16647379174694e-19,-1.1025344294995292e-19,0.009999999999999998,-8.269008221246468e-20,2.756336073748823e-19,-2.2050688589990584e-19,-1.1025344294995292e-19,1.5935067926360384e-20,-6.02948516132555e-20
2,-3.123754569791236e-19,9.922809865495765e-20,5.380368015957702e-19,1.2094802691609836e-18,-2.403525056308973e-19,0.009,-1.6262382835118059e-19,6.361623658212284e-19,-4.1014280777382476e-19,-1.6979030214292752e-19,2.619380625084428e-20,-1.1600729450390363e-19
3,-3.764580731472869e-19,8.930528878946187e-20,6.112450877145387e-19,1.5965801073582686e-18,-3.4332922134615325e-19,0.0081,-2.257439244400287e-19,9.218290365045566e-19,-5.596464764139609e-19,-2.163172550678077e-19,3.42414462311678e-20,-1.5997430030028959e-19
4,-4.246004115120262e-19,8.037475991051564e-20,6.644313485935958e-19,1.894165175224487e-18,-4.23307068862049e-19,0.00729,-2.7461376302759536e-19,1.1440007493930066e-18,-6.751479832483315e-19,-2.5184091438628262e-19,4.0417620152918167e-20,-1.9398783199235932e-19
5,-4.593497014723449e-19,7.233728391946401e-20,7.008679064196961e-19,2.116267428443879e-18,-4.838560546613041e-19,0.006561,-3.1145219465324844e-19,1.312519829338721e-18,-7.619527239516883e-19,-2.7809666929038454e-19,4.501614482800679e-20,-2.1959891434301226e-19
6,-4.829031293254796e-19,6.510355552751752e-20,7.233728391946403e-19,2.275007579267148e-18,-5.280621726120876e-19,0.0059049,-3.3817680232349495e-19,1.4358950858013624e-18,-8.2464503668189055e-19,-2.9658286406980326e-19,4.8290788366548504e-20,-2.38147901903611e-19
7,-4.971523745932641e-19,5.859319997476566e-20,7.343681063503987e-19,2.3808370256413245e-18,-5.585885064261014e-19,0.00531441,-3.5644196651315973e-19,1.5214700926780885e-18,-8.671793596265354e-19,-3.0859085320043446e-19,5.046034174910181e-20,-2.507911028086599e-19
8,-5.037227395142369e-19,5.273387997728898e-20,7.359305916830589e-19,2.4427505069479946e-18,-5.777289517511916e-19,0.004782969000000001,-3.676723298416566e-19,1.5755711473214556e-18,-8.929603676154323e-19,-3.1523141586424136e-19,5.171307657147897e-20,-2.585241845136629e-19
9,-5.040075077050824e-19,4.746049197955996e-20,7.298368988856829e-19,2.4684729217369175e-18,-5.874554229470027e-19,0.0043046721,-3.7309220083932246e-19,1.6036372901093683e-18,-9.049133804102846e-19,-3.174579574632826e-19,5.2210661011889675e-20,-2.6220273884957874e-19
10,-4.991980948626166e-19,4.271444278160383e-20,7.176026387309516e-19,2.4646233484985756e-18,-5.894593103861396e-19,0.0038742048900000004,-3.7375137433903865e-19,1.6103344928664839e-18,-9.05546186970012e-19,-3.160868765838732e-19,5.209159779850345e-20,-2.625603404731748e-19
11,-4.903104895115931e-19,3.844299850344331e-20,7.005168616183098e-19,2.436858960690533e-18,-5.851878661079791e-19,0.0034867844010000003,-3.705477911304183e-19,1.5996558821710827e-18,-8.970032984136911e-19,-3.1181543230571284e-19,5.147424061767558e-20,-2.6022439438355583e-19
12,-4.782084242821482e-19,3.459869865309884e-20,6.796722135408867e-19,2.3900012169591135e-18,-5.758761175815893e-19,0.0031381059609,-3.6424741082013173e-19,1.575009648686097e-18,-8.811135256989344e-19,-3.052374081173458e-19,5.0459438895028245e-20,-2.5573003410712896e-19
13,-4.636236672034763e-19,3.113882878778882e-20,6.5599132646276505e-19,2.3281464323670723e-18,-5.625748400993976e-19,0.00282429536481,-3.555016286605982e-19,1.5392961030763977e-18,-8.59431674542992e-19,-2.968568344435951e-19,4.913285511073362e-20,-2.4953230194215188e-19
14,-4.471737772977174e-19,2.8024945909009814e-20,6.302498946648588e-19,2.2547625925238485e-18,-5.461750569378284e-19,0.002541865828329,-3.4486252882477015e-19,1.4949751701017771e-18,-8.332750583612487e-19,-2.8710000142342107e-19,4.7566993694347636e-20,-2.4201681586909894e-19
15,-4.293776287010754e-19,2.5222451318108702e-20,6.030968359619063e-19,2.1727740563255986e-18,-5.274294820075791e-19,0.0022876792454961,-3.327962326695017e-19,1.4441254626913167e-18,-8.037554486704242e-19,-2.7632596666284594e-19,4.5822976010131513e-20,-2.3350910399123507e-19
16,-4.106689720507847e-19,2.270020618629771e-20,5.750718900528957e-19,2.08463560144176e-18,-5.069712714940014e-19,0.00205891132094649,-3.1969457045703925e-19,1.3884959450619304e-18,-7.718070103341521e-19,-2.648357388401516e-19,4.3952091925815145e-20,-2.2428276633025296e-19
17,-3.9140827044354135e-19,2.0430185567667815e-20,5.466209649660681e-19,1.9923970969714338e-18,-4.853304082630633e-19,0.001853020188851841,-3.058852783603743e-19,1.3295510763315082e-18,-7.382107051784301e-19,-2.528802969153677e-19,4.199715489826073e-20,-2.1456660516155495e-19
18,-3.7189301943723887e-19,1.8387167010900917e-20,5.181095059960771e-19,1.897759937380755e-18,-4.629480049633728e-19,0.001667718169966657,-2.916408989784719e-19,1.2685102218965512e-18,-7.036155909505111e-19,-2.4066758598713913e-19,3.9993684356959053e-20,-2.04550848563294e-19
19,-3.523667359277614e-19,1.6548450309810713e-20,4.898341291704236e-19,1.802126238738498e-18,-4.401887782409899e-19,0.0015009463529699913,-2.7718654268934626e-19,1.2063820275852705e-18,-6.6855739251639145e-19,-2.2836861427540256e-19,3.79709363749351e-20,-1.943925772330697e-19
