Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,-4.853217934071951e-19,-9.952726440242553e-20,1.1106212004724052e-19,-2.68719211576027e-19,2.0353144908896444e-20,-1.2707190439966141e-21,0.010000000000000004,1.9373514176487198e-19,-1.738320644166564e-19,-2.628305299122739e-19,-1.8300896106655304e-20,7.306759465230421e-20
2,-6.4251571472755e-19,-5.641818990739558e-19,3.1319517853321823e-19,-6.786033362926136e-19,3.0263685773894256e-19,5.695384201783576e-21,0.009000000000000005,4.49995227167237e-19,-8.748499010766586e-19,2.1728040402228384e-20,-3.185912836199278e-20,1.2230793944967747e-19
3,-7.634176338497621e-19,-9.34910334167156e-19,4.737910041215278e-19,-1.003823443950123e-18,5.282602965538905e-19,1.12809739888477e-20,0.008100000000000005,6.530659440714804e-19,-1.433925849760494e-18,2.5200320195295303e-19,-4.2522705205196204e-20,1.6096953934105306e-19
4,-8.537140120002565e-19,-1.2258512632509764e-18,5.991357128068433e-19,-1.2572134967132044e-18,7.057326790284593e-19,1.569249197648117e-20,0.007290000000000006,8.110225653232025e-19,-1.8724381096967955e-18,4.360060507895105e-19,-5.0734975396139026e-20,1.9067573985965675e-19
5,-9.183169381821544e-19,-1.4492549031763612e-18,6.946735697138803e-19,-1.4498873044841685e-18,8.424279820425754e-19,1.9108896626699476e-20,0.006561000000000006,9.308572028838656e-19,-2.208908659148232e-18,5.806882978392271e-19,-5.687956449684132e-20,2.1283100488112918e-19
6,-9.614621390076703e-19,-1.6157193024841593e-18,7.651124981114414e-19,-1.5914542157338078e-18,9.447268976635837e-19,2.1685095427109313e-20,0.005904900000000006,1.018614687279164e-18,-2.4593607176124135e-18,6.920740349711052e-19,-6.128788602344177e-20,2.286484594997106e-19
7,-9.867951302862616e-19,-1.7343982728986342e-18,8.145169051323514e-19,-1.6902088716886777e-18,1.0181417503399646e-18,2.3554965501170193e-20,0.005314410000000006,1.079512102766564e-18,-2.637633277792276e-18,7.753757416982155e-19,-6.424574759975371e-20,2.391741131457644e-19
8,-9.974469019190578e-19,-1.8131842562053726e-18,8.463893057679649e-19,-1.7532980542952357e-18,1.0674263635044335e-18,2.483401060614781e-20,0.004782969000000007,1.1180438882836922e-18,-2.7556577187600425e-18,8.350963667301927e-19,-6.599915800056885e-20,2.453081514676104e-19
9,-9.961003679224325e-19,-1.858869060121777e-18,8.6374205722513225e-19,-1.7868673116635956e-18,1.0966726365326089e-18,2.56216970351182e-20,0.004304672100000006,1.1380741956697293e-18,-2.8237009387563327e-18,8.751191093387924e-19,-6.675942884522342e-20,2.478236409936295e-19
10,-9.850486717059413e-19,-1.8772850606928465e-18,8.691603653331862e-19,-1.7961897370153315e-18,1.109395391320105e-18,2.6003506072233042e-20,0.0038742048900000064,1.1429180026957218e-18,-2.8505789375657642e-18,8.987863397583702e-19,-6.67076539409414e-20,2.4738295109976867e-19
11,-9.662463110535243e-19,-1.8734291705484845e-18,8.648575912473781e-19,-1.7857790041800842e-18,1.1086068687847758e-18,2.6052736331573734e-20,0.0034867844010000064,1.1354123063598185e-18,-2.8438443272257465e-18,9.089689330006446e-19,-6.599863972906354e-20,2.445521627747437e-19
12,-9.413539358145314e-19,-1.8515716078260667e-18,8.527237683253997e-19,-1.7594885205417334e-18,1.0968820968433111e-18,2.583208547832396e-20,0.0031381059609000062,1.1179785692641388e-18,-2.8099508495780745e-18,9.081271441968803e-19,-6.476435182015184e-20,2.3981370260372606e-19
13,-9.117775725128018e-19,-1.8153512659426473e-18,8.343681340753432e-19,-1.7205983435892518e-18,1.0764162106022918e-18,2.5395037432408408e-20,0.002824295364810006,1.0926774565239967e-18,-2.7543976241876797e-18,8.983640238238624e-19,-6.311693509573186e-20,2.335774128391646e-19
14,-8.787029425132729e-19,-1.7678592763576512e-18,8.11156388992044e-19,-1.671891316821849e-18,1.0490746806410432e-18,2.478707814089273e-20,0.002541865828329006,1.0612567806392416e-18,-2.681855535379583e-18,8.814722560834796e-19,-6.115135819799434e-20,2.261902440014781e-19
15,-8.431254627885216e-19,-1.7117121720302281e-18,7.842433115846511e-19,-1.6157197119720344e-18,1.0164372945660214e-18,2.4046760333356103e-20,0.0022876792454961056,1.0251934653661977e-18,-2.596277888091229e-18,8.589752016529346e-19,-5.894772732884701e-20,2.179447348029373e-19
16,-8.058764495835879e-19,-1.6491158958047131e-18,7.546012857688164e-19,-1.5540635149239643e-18,9.798366388995936e-19,2.3206635305917877e-20,0.002058911320946495,9.857302453413701e-19,-2.50099721490675e-18,8.321628355476639e-19,-5.657330905154921e-20,2.0908642500408986e-19
17,-7.676459843917558e-19,-1.5819217531039988e-18,7.230452320003021e-19,-1.488581360165788e-18,9.40391741420791e-19,2.2294067680633738e-20,0.001853020188851846,9.439077346678461e-19,-2.3988098974782544e-18,8.021231906469179e-19,-5.4084297156422494e-20,1.9982032981698252e-19
18,-7.290028477424543e-19,-1.5116752799853803e-18,6.902543761278024e-19,-1.4206550012100074e-18,8.990374570487531e-19,2.1331947227347248e-20,0.0016677181699666617,9.005924236756132e-19,-2.2920500713863903e-18,7.697698463708445e-19,-5.152735454980563e-20,1.9031658941725577e-19
19,-6.904118785790954e-19,-1.4396588839594453e-18,6.567912391097996e-19,-1.351428100443725e-18,8.565501121369149e-19,2.0339310187911723e-20,0.0015009463529699959,8.565010975351484e-19,-2.1826541115381166e-18,7.358659390435166e-19,-4.8940957492947916e-20,1.807153937993045e-19
20,-6.522490747709839e-19,-1.3669290143388438e-18,6.231181857341194e-19,-1.2818400298185991e-18,8.135698616369568e-19,1.9331881084089827e-20,0.0013508517176729965,8.122221123860204e-19,-2.0722168429456337e-18,7.010451147179458e-19,-4.6356566301963686e-20,1.7113127141077096e-19
