Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,2.3806523936003153e-19,3.2194825483044997e-19,-1.0136083944213938e-19,-1.0031285659141236e-22,8.060730305372414e-20,-3.1489709049300295e-20,-2.9289108269819104e-19,5.050888539109593e-20,8.097948157939818e-20,2.219571911817238e-19,0.0004999999999999998,-0.002
2,1.0630446128708011e-19,-6.703420039497466e-21,1.0201723614670271e-19,4.171219062974689e-19,5.018403239387003e-20,-6.567037834831325e-20,-4.0894784758522925e-20,1.1477853472185286e-20,-1.2713058830763462e-19,9.185059912948996e-20,0.00045,-0.0018000000000000008
3,8.93512930646734e-20,-1.2092396505246164e-20,9.084480467871451e-20,3.72346215389133e-19,1.8122075860939842e-19,-6.135963303964765e-20,-3.8474705812472516e-20,2.0599568895947244e-20,-1.171485084287908e-19,4.688812838674843e-20,0.00040500000000000003,-0.001620000000000001
4,7.472571387387728e-20,-1.633654347745014e-20,8.088668714285697e-20,3.3235444359948957e-19,2.8554829925788247e-19,-5.725433300923201e-20,-3.612969480804696e-20,2.778216270023495e-20,-1.0789153864263937e-19,9.999645801260296e-21,0.0003645,-0.001458000000000001
5,6.213173759059364e-20,-1.9610937090160843e-20,7.201174506738377e-20,2.966375640138836e-19,3.671981241905757e-19,-5.3356496654503036e-20,-3.3868938946381794e-20,3.332224205470566e-20,-9.931447772943034e-20,-1.9980021550997746e-20,0.00032805000000000003,-0.0013122000000000012
6,5.1309299425227965e-20,-2.2067086545554895e-20,6.410292453557664e-20,2.6474051590940387e-19,4.296625011441514e-19,-4.966568424062754e-20,-3.1699037308969174e-20,3.747648391127987e-20,-9.137391361243669e-20,-4.406375189081677e-20,0.000295245,-0.0011809800000000012
7,4.2030031517029505e-20,-2.3835896738968522e-20,5.705575065945708e-20,2.362565017856812e-19,4.759620214651063e-19,-4.61794693429821e-20,-2.962442660957526e-20,4.0466654975992184e-20,-8.402831754154748e-20,-6.313093594716201e-20,0.00026572050000000006,-0.0010628820000000013
8,3.409352419621847e-20,-2.5030274028243858e-20,5.0776982313205683e-20,2.1082188532760912e-19,5.087050127104286e-19,-4.289384058245948e-20,-2.764774767697044e-20,4.2484026988649234e-20,-7.723810154871175e-20,-7.794404567333008e-20,0.00023914845000000005,-0.0009565938000000013
9,2.732401802439935e-20,-2.574741689227444e-20,4.518341012961001e-20,1.8811162714329458e-19,5.301397854920355e-19,-3.980354288061156e-20,-2.5770160264790824e-20,4.369325804901495e-20,-7.096564557902767e-20,-8.916322409479292e-20,0.00021523360500000005,-0.0008609344200000013
10,2.1567477844981855e-20,-2.607082844321646e-20,4.020078255960138e-20,1.6783520174256687e-19,5.422005535902167e-19,-3.690236631330863e-20,-2.399161285827742e-20,4.4235802627421046e-20,-6.517529978779331e-20,-9.735912637522988e-20,0.00019371024450000004,-0.0007748409780000012
11,1.6689005521203876e-20,-2.6072083515047322e-20,3.5762846402298403e-20,1.4973294515055175e-19,5.465477702138413e-19,-3.4183389630660184e-20,-2.231107333041879e-20,4.423290570965576e-20,-5.983336669901553e-20,-1.0302421595863154e-19,0.00017433922005000003,-0.0006973568802000012
12,1.2570552883731677e-20,-2.581237928807984e-20,3.1810489650859995e-20,1.3357278785951397e-19,5.446035379768388e-19,-3.1639184621408325e-20,-2.0726725579549107e-20,4.3788230149169324e-20,-5.490806723011537e-20,-1.0658269636160056e-19,0.00015690529804500002,-0.0006276211921800013
13,9.108900718541884e-21,-2.5343895071355384e-20,2.829097578568628e-20,1.1914733257517828e-19,5.375826744850984e-19,-2.926198671770024e-20,-1.9236136645549178e-20,4.299016064368362e-20,-5.036949398800507e-20,-1.0839923852438949e-19,0.00014121476824050002,-0.0005648590729620012
