Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,2.3009131600594628e-5,2.6734489176394912e-5,4.589918229491333e-5,0.0003986620549432456,0.00039866205494324547,3.8899311813470756e-5,-3.560783970252544e-5,-5.695371795522782e-6,-9.685789883283943e-6,-9.68578988328404e-6,-2.5361568302676484e-5,0.00010144627321070603
2,2.070821844053518e-5,2.4061040258755323e-5,4.1309264065421676e-5,0.0003587958494489213,0.0003587958494489209,3.5009380632123554e-5,-3.204705573227276e-5,-5.125834615970533e-6,-8.717210894955594e-6,-8.717210894955753e-6,-2.2825411472408828e-5,9.130164588963535e-5
3,1.8637396596481656e-5,2.1654936232879844e-5,3.717833765887951e-5,0.00032291626450402927,0.0003229162645040288,3.15084425689112e-5,-2.8842350159045472e-5,-4.613251154373481e-6,-7.845489805460012e-6,-7.845489805460217e-6,-2.0542870325167946e-5,8.217148130067183e-5
4,1.677365693683349e-5,1.94894426095919e-5,3.346050389299155e-5,0.00029062463805362644,0.00029062463805362585,2.8357598312020086e-5,-2.595811514314091e-5,-4.151926038936135e-6,-7.060940824913991e-6,-7.060940824914232e-6,-1.848858329265115e-5,7.395433317060463e-5
5,1.5096291243150137e-5,1.754049834863275e-5,3.0114453503692383e-5,0.0002615621742482639,0.00026156217424826324,2.552183848081808e-5,-2.3362303628826807e-5,-3.736733435042522e-6,-6.354846742422573e-6,-6.35484674242284e-6,-1.6639724963386033e-5,6.655889985354419e-5
6,1.358666211883512e-5,1.5786448513769514e-5,2.7103008153323134e-5,0.0002354059568234376,0.00023540595682343686,2.2969654632736273e-5,-2.1026073265944118e-5,-3.3630600915382706e-6,-5.7193620681803e-6,-5.719362068180584e-6,-1.4975752467047432e-5,5.9903009868189774e-5
7,1.2227995906951606e-5,1.4207803662392599e-5,2.439270733799082e-5,0.0002118653611410939,0.00021186536114109312,2.0672689169462656e-5,-1.8923465939349696e-5,-3.0267540823844446e-6,-5.147425861362254e-6,-5.147425861362551e-6,-1.3478177220342687e-5,5.391270888137081e-5
8,1.1005196316256442e-5,1.2787023296153372e-5,2.195343660419173e-5,0.0001906788250269846,0.0001906788250269838,1.860542025251639e-5,-1.7031119345414722e-5,-2.724078674146001e-6,-4.6326832752260165e-6,-4.63268327522632e-6,-1.2130359498308418e-5,4.852143799323373e-5
9,9.9046766846308e-6,1.1508320966538062e-5,1.9758092943772554e-5,0.00017161094252428618,0.00017161094252428542,1.6744878227264753e-5,-1.5328007410873242e-5,-2.451670806731402e-6,-4.169414947703403e-6,-4.169414947703708e-6,-1.0917323548477577e-5,4.366929419391036e-5
10,8.914209016167716e-6,1.0357488869884281e-5,1.7782283649395293e-5,0.00015444984827185762,0.00015444984827185686,1.5070390404538277e-5,-1.3795206669785912e-5,-2.2065037260582625e-6,-3.7524734529330503e-6,-3.7524734529333553e-6,-9.825591193629819e-6,3.930236477451933e-5
11,8.022788114550943e-6,9.321739982895878e-6,1.600405528445576e-5,0.0001390048634446719,0.00013900486344467115,1.3563351364084452e-5,-1.2415686002807315e-5,-1.9858533534524367e-6,-3.377226107639736e-6,-3.3772261076400367e-6,-8.843032074266837e-6,3.53721282970674e-5
12,7.2205093030958444e-6,8.38956598460631e-6,1.4403649756010176e-5,0.00012510437710020478,0.00012510437710020402,1.2207016227676008e-5,-1.1174117402526577e-5,-1.7872680181071942e-6,-3.0395034968757536e-6,-3.039503496876048e-6,-7.958728866840153e-6,3.1834915467360664e-5
13,6.498458372786258e-6,7.550609386145695e-6,1.2963284780409155e-5,0.00011259393939018436,0.00011259393939018359,1.0986314604908405e-5,-1.0056705662273916e-5,-1.6085412162964752e-6,-2.73555314718817e-6,-2.735553147188457e-6,-7.1628559801561374e-6,2.8651423920624597e-5
14,5.8486125355076316e-6,6.795548447531142e-6,1.1666956302368238e-5,0.00010133454545116597,0.00010133454545116522,9.887683144417566e-6,-9.05103509604652e-6,-1.4476870946668283e-6,-2.461997832469346e-6,-2.4619978324696227e-6,-6.446570382140523e-6,2.578628152856214e-5
15,5.263751281956868e-6,6.115993602778042e-6,1.0500260672131412e-5,9.12010909060494e-5,9.120109090604869e-5,8.89891482997581e-6,-8.145931586441864e-6,-1.302918385200146e-6,-2.2157980492224046e-6,-2.215798049222672e-6,-5.80191334392647e-6,2.3207653375705932e-5
16,4.737376153761179e-6,5.504394242500251e-6,9.450234604918267e-6,8.208098181544448e-5,8.20809818154438e-5,8.00902334697823e-6,-7.331338427797674e-6,-1.1726265466801314e-6,-1.9942182443001584e-6,-1.9942182443004146e-6,-5.221722009533823e-6,2.088688803813534e-5
17,4.2636385383850594e-6,4.953954818250239e-6,8.505211144426437e-6,7.387288363390007e-5,7.387288363389941e-5,7.208121012280408e-6,-6.598204585017903e-6,-1.0553638920121187e-6,-1.794796419870137e-6,-1.794796419870382e-6,-4.69954980858044e-6,1.8798199234321805e-5
18,3.837274684546554e-6,4.4585593364252265e-6,7.654690029983793e-6,6.648559527051009e-5,6.648559527050946e-5,6.487308911052367e-6,-5.93838412651611e-6,-9.498275028109073e-7,-1.6153167778831189e-6,-1.6153167778833518e-6,-4.229594827722396e-6,1.6918379310889626e-5
19,3.4535472160918974e-6,4.012703402782713e-6,6.889221026985411e-6,5.983703574345911e-5,5.983703574345852e-5,5.838578019947131e-6,-5.3445457138644974e-6,-8.548447525298168e-7,-1.4537851000948028e-6,-1.4537851000950234e-6,-3.806635344950157e-6,1.5226541379800667e-5
20,3.108192494482707e-6,3.6114330625044506e-6,6.200298924286868e-6,5.385333216911322e-5,5.3853332169112665e-5,5.25472021795242e-6,-4.810091142478045e-6,-7.693602772768356e-7,-1.3084065900853185e-6,-1.3084065900855277e-6,-3.425971810455141e-6,1.3703887241820604e-5
