Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,-4.363285314557938e-19,5.435516658246634e-19,0.009999999999999998,-9.849664657054013e-19,-5.453956253033438e-19,7.701106231453139e-20,-2.549855006237116e-19,-5.151599724744048e-19,9.92525378912636e-19,1.0907912506066876e-18,7.338923528011751e-20,-3.8636997935580365e-19
2,-7.707855963623853e-20,6.231370585270336e-19,0.008999999999999998,-1.8368753306646768e-18,-4.908560627730093e-19,2.6992687949546463e-19,-5.891012906707185e-19,-2.9879278403515476e-19,8.594089098529608e-19,2.0869241795600014e-18,1.187757351127038e-19,-7.574421071734322e-19
3,2.146847031339635e-19,6.813698560306834e-19,0.008099999999999998,-2.508552757975043e-18,-4.417704564957084e-19,4.234894226170659e-19,-8.538440677020869e-19,-1.205474335590107e-19,7.429904808160941e-19,2.872922610216586e-18,1.5435104262597163e-19,-1.0504361096339769e-18
4,4.488660989464875e-19,7.217247234483329e-19,0.007289999999999997,-3.0275259465166896e-18,-3.9759341084613763e-19,5.436401883193923e-19,-1.0597472764204744e-18,2.5036774662256043e-20,6.412616484880714e-19,3.480852112946253e-18,1.8162353128545886e-19,-1.2772568905306785e-18
5,6.34064368565167e-19,7.471949188221459e-19,0.0065609999999999965,-3.4176189697702563e-18,-3.57834069761524e-19,6.355259066550827e-19,-1.2159314027181637e-18,1.4270961557485947e-19,5.524486778174923e-19,3.938466489027821e-18,2.0189801178678893e-19,-1.4482091541517e-18
6,7.777343232706455e-19,7.603538278867131e-19,0.005904899999999996,-3.699418128907943e-18,-3.2205066278537187e-19,7.035980794404411e-19,-1.3302812309921104e-18,2.3659752055831967e-19,4.749856847961485e-19,4.269749468763613e-18,2.163013608749984e-19,-1.5721983961432104e-18
7,8.863296433493767e-19,7.634090059501456e-19,0.005314409999999996,-3.8906812665203905e-18,-2.89845596506835e-19,7.5170055860217705e-19,-1.409601779584086e-18,3.1028074838933916e-19,4.074908036008985e-19,4.495391187661968e-18,2.258050600276981e-19,-1.6569076981949018e-18
8,9.65428556179655e-19,7.582496101220245e-19,0.004782968999999996,-4.006697595321269e-18,-2.6086103685615178e-19,7.831465611371613e-19,-1.4597554061477454e-18,3.6686135544857153e-19,3.487450417967371e-19,4.633207068093016e-18,2.3124500574110786e-19,-1.7089531558748228e-18
9,1.019844390010384e-18,7.464880034000263e-19,0.004304672099999996,-4.060603845696768e-18,-2.347749331705369e-19,8.007863575791269e-19,-1.485782289602832e-18,4.0902303361206403e-19,2.97673524317399e-19,4.698505860561235e-18,2.3333891171155865e-19,-1.7340204450368105e-18
10,1.0537227715131705e-18,7.294962219212077e-19,0.003874204889999996,-4.063661870043954e-18,-2.112974398534835e-19,8.070667291213279e-19,-1.4920062423054238e-18,4.390837625883722e-19,2.533288599159612e-19,4.7044128238548795e-18,2.327015864305082e-19,-1.7369847448076526e-18
