Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,0.0009999999999999996,3.561061716580187e-20,5.39293149290937e-20,1.0841493245514931e-19,0.0,2.6460803403378048e-20,-6.466945730269239e-20,4.089471678505334e-20,2.679314588228642e-20,1.8527942558253055e-21,-6.053872888462342e-19,-2.0327799835340497e-20
2,0.0008999999999999998,3.0025196427802406e-20,1.661240208951262e-19,2.0891898325500847e-19,-1.1413527111955403e-19,6.162493640472656e-20,-6.961334462630238e-20,-2.5063946648758308e-20,-1.016448059415588e-19,1.1683754070861438e-19,-5.420308489256426e-19,-3.015956060709421e-20
3,0.0008099999999999997,1.0115080643494638e-19,2.214766361887185e-19,2.90566830337117e-19,-1.3762269656574147e-19,7.399447517673497e-20,-6.130006499691012e-20,-2.850611071763538e-20,-1.6236378659709825e-19,1.8036347242108677e-19,-4.845437244314732e-19,-4.072968631561064e-20
4,0.0007289999999999997,1.5775104247638353e-19,2.640974882146411e-19,3.5379591817025375e-19,-1.552712842114959e-19,8.32738568302944e-20,-5.3953307847133286e-20,-3.100920250624946e-20,-2.099225230621142e-19,2.3001584238397857e-19,-4.3313371634688127e-19,-4.888419127635285e-20
5,0.0006560999999999997,2.0201972324518382e-19,2.9597940347349195e-19,4.014735201333919e-19,-1.6801392736244199e-19,8.995741740137461e-20,-4.746290147734271e-20,-3.272661482996438e-20,-2.46345874368156e-19,2.6793410363008104e-19,-3.87160272634893e-19,-5.500049838179051e-20
6,0.0005904899999999997,2.358571574354602e-19,3.1884396079842613e-19,4.360776425221999e-19,-1.7665532904108393e-19,9.447152728993583e-20,-4.173104330303893e-20,-3.379045266387381e-20,-2.733853301823683e-19,2.9596855420312326e-19,-3.460501805018335e-19,-5.940470215337712e-20
7,0.0005314409999999997,2.6090690755522944e-19,3.3417581262363867e-19,4.597462052319125e-19,-1.8188831111037305e-19,9.718324102677106e-20,-3.6670927748822466e-20,-3.431425678270171e-20,-2.9255343609005653e-19,3.1571677362525623e-19,-3.0929050406903707e-19,-6.23780601868285e-20
8,0.00047829689999999967,2.7858813607669023e-19,3.4325285447582438e-19,4.743202789744605e-19,-1.8430814347539348e-19,9.84078967433399e-20,-3.2205524872418905e-20,-3.439539555112531e-20,-3.051540675143834e-19,3.285556636209313e-19,-2.7642226111778156e-19,-6.416269959205585e-20
9,0.0004304672099999997,2.901240498183066e-19,3.4717272983133656e-19,4.813820759161799e-19,-1.8442512625630613e-19,9.841578890632723e-20,-2.8266493293807834e-20,-3.411716399803716e-20,-3.1230903829294437e-19,3.356696078812189e-19,-2.4703476171608676e-19,-6.496663051436943e-20
10,0.0003874204889999997,2.965668994508328e-19,3.4687610157098804e-19,4.822883106798109e-19,-1.826756310462823e-19,9.743802366928371e-20,-2.4793212782194788e-20,-3.355062480005539e-20,-3.149814742406493e-19,3.3807520665323957e-19,-2.207605395835531e-19,-6.496814825629974e-20
11,0.0003486784400999997,2.9881993865867065e-19,3.4316707166439582e-19,4.781994777315537e-19,-1.7943178361570023e-19,9.567165359058564e-20,-2.1731923439966273e-20,-3.275622180168961e-20,-3.139963326158838e-19,3.3664298959204395e-19,-1.972708142603653e-19,-6.431969614470029e-20
12,0.00031381059608999966,2.9765670103043263e-19,3.3673108672341224e-19,4.7010552826615e-19,-1.750099493607717e-19,9.328417729093432e-20,-1.9034959838361513e-20,-3.178519315499643e-20,-3.1005840457366482e-19,3.321164638765551e-19,-1.7627142860597955e-19,-6.315125297285773e-20
13,0.00028242953648099966,2.9373791154125554e-19,3.2815062805398134e-19,4.588483739165115e-19,-1.6967816412067185e-19,9.041747971530744e-20,-1.6660069722678038e-20,-3.068080801962499e-20,-3.037680988137309e-19,3.2512881340824353e-19,-1.5749921193986728e-19,-6.157330147393668e-20
14,0.00025418658283289967,2.876263129396095e-19,3.179189502512025e-19,4.451415951541391e-19,-1.6366263643498428e-19,8.719127988189656e-20,-1.4569808031747642e-20,-2.947944797977786e-20,-2.9563527016004703e-19,3.162175283948287e-19,-1.4071872432091767e-19,-5.967942774507127e-20
15,0.0002287679245496097,2.7979965494288013e-19,3.0645210172843963e-19,4.295876884050762e-19,-1.571534326452275e-19,8.370614521801478e-20,-1.2730997981776547e-20,-2.8211551867703925e-20,-2.8609132624896265e-19,3.0583721225001443e-19,-1.2571934210635931e-19,-5.754859574723959e-20
16,0.0002058911320946487,2.706620654161005e-19,2.9409943340771734e-19,4.1269314705428444e-19,-1.5030944324907224e-19,8.00461246880904e-20,-1.1114251861482192e-20,-2.6902440498246993e-20,-2.754998184184947e-19,2.943707840502147e-19,-1.1231264909150344e-19,-5.524713587152351e-20
17,0.00018530201888518382,2.605539972452481e-19,2.8115277773385506e-19,3.948816370896002e-19,-1.4326271740569574e-19,7.628104681197075e-20,-9.693544985428943e-21,-2.557303588400441e-20,-2.641656988916307e-19,2.821392693678748e-19,-1.0033010125855515e-19,-5.283048201347827e-20
18,0.0001667718169966654,2.497609220544051e-19,2.6785445886068804e-19,3.7650549764731007e-19,-1.3612224229850382e-19,7.246852326419412e-20,-8.445836965971523e-21,-2.424048778762787e-20,-2.523434050859546e-19,2.6941034978150076e-19,-8.96209365012815e-20,-5.0344687568326834e-20
19,0.00015009463529699885,2.385209219292782e-19,2.544042759848159e-19,3.578557697225819e-19,-1.289772350386933e-19,6.86556939578531e-20,-7.350735100551295e-21,-2.2918718951686597e-20,-2.4024391305249735e-19,2.5640582141872277e-19,-8.005030368287702e-20,-4.782774719207091e-20
20,0.00013508517176729896,2.2703131260863266e-19,2.4096558509551135e-19,3.391709324063263e-19,-1.219000068078599e-19,6.488074528013836e-20,-6.390195238555399e-21,-2.1618899005057298e-20,-2.28040885374872e-19,2.4330809523068536e-19,-7.149758806314062e-20,-4.5310748015382895e-20
