Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,4.393720067851577e-19,-2.590101254934794e-19,-6.956956844378243e-19,-3.114167773832457e-19,2.076111849221638e-19,1.8387710794090362e-19,5.499933275839161e-20,0.010000000000000002,2.5951398115270473e-19,-4.152223698443276e-19,-6.4878495288176186e-21,0.0
2,4.879184479565274e-19,-1.781530937354195e-19,-1.131783770526669e-18,-5.460174163452908e-19,1.8685006642994743e-19,1.195340786332551e-19,3.1997595359473767e-20,0.009000000000000001,4.660871101502577e-19,-1.1709270829610039e-18,-1.4143511972822412e-20,-1.6608894793773096e-20
3,5.223618808257715e-19,-1.1087736707403688e-19,-1.4736972825533663e-18,-7.305837597410944e-19,1.6816505978695273e-19,6.622088410772722e-20,1.304621211275558e-20,0.0081,6.287504735367729e-19,-1.7713386297559016e-18,-2.0203163432738072e-20,-2.989601062879155e-20
4,5.450374426416017e-19,-5.527525480757666e-20,-1.7359102544694576e-18,-8.727766602942843e-19,1.5134855380825753e-19,2.237498770097235e-20,-2.434870438213702e-21,0.007289999999999999,7.5422029314448235e-19,-2.23995859636221e-18,-2.4909449480942376e-20,-4.0359614348868566e-20
5,5.579542732860083e-19,-9.684791323668179e-21,-1.9309436591767966e-18,-9.792251431394253e-19,1.362136984274319e-19,-1.336393826550882e-20,-1.4950198600116682e-20,0.006560999999999998,8.483086440952821e-19,-2.5971411833496977e-18,-2.847244668517844e-20,-4.843153721864225e-20
6,5.628373633751176e-19,2.734033201153432e-20,-2.069611280397973e-18,-1.0556561628125953e-18,1.2259232858468885e-19,-4.217882891570349e-20,-2.4938112425256923e-20,0.005904899999999998,9.16037121924477e-19,-2.8604876669760657e-18,-3.107374995375787e-20,-5.448547937097249e-20
7,5.611642927135451e-19,5.705727859293295e-20,-2.1612359407831464e-18,-1.1070087271197373e-18,1.1033309572622012e-19,-6.509710205320414e-20,-3.277894149936794e-20,0.005314409999999998,9.617368177468802e-19,-3.0451934420436634e-18,-3.2870068101769633e-20,-5.884431772065026e-20
8,5.541974625505358e-19,8.055743253793646e-20,-2.2138395562873053e-18,-1.1375342169373247e-18,9.92997861535983e-20,-8.300993227404763e-20,-3.8802223634404196e-20,0.004782968999999997,9.891362031855579e-19,-3.164353185427981e-18,-3.3996385120641467e-20,-6.178653360668272e-20
9,5.430123554929932e-19,9.878698290800991e-20,-2.234310089282801e-18,-1.1508845215201974e-18,8.936980753823866e-20,-9.668922543019037e-20,-4.3293059927439514e-20,0.004304672099999997,1.0014383433590312e-18,-3.229229045714998e-18,-3.456873805472124e-20,-6.355186313830219e-20
10,5.2852229522145355e-19,1.1256504887868925e-19,-2.2285481201163246e-18,-1.1501894230171223e-18,8.043282678441499e-20,-1.0680256063236411e-19,-4.649770672552372e-20,0.003874204889999997,1.0013886934659543e-18,-3.2494862020903322e-18,-3.468665655077864e-20,-6.434626142753092e-20
