Period,Variable,Shock,Value
31,L_k2,eps_G_5,0.00022994920522737791
32,L_k2,eps_G_5,0.00020695428470464012
33,L_k2,eps_G_5,0.00018625885623417605
34,L_k2,eps_G_5,0.00016763297061075843
35,L_k2,eps_G_5,0.00015086967354968254
36,L_k2,eps_G_5,0.00013578270619471426
37,L_k2,eps_G_5,0.0001222044355752428
38,L_k2,eps_G_5,0.00010998399201771851
39,L_k2,eps_G_5,9.898559281594664e-5
40,L_k2,eps_G_5,8.908703353435197e-5
41,L_k2,eps_G_5,8.017833018091675e-5
42,L_k2,eps_G_5,7.216049716282506e-5
43,L_k2,eps_G_5,6.494444744654255e-5
44,L_k2,eps_G_5,5.8450002701888265e-5
45,L_k2,eps_G_5,5.260500243169943e-5
46,L_k2,eps_G_5,4.734450218852948e-5
47,L_k2,eps_G_5,4.2610051969676535e-5
48,L_k2,eps_G_5,3.834904677270887e-5
49,L_k2,eps_G_5,3.451414209543798e-5
50,L_k2,eps_G_5,3.106272788589418e-5
51,L_k2,eps_G_5,2.795645509730475e-5
52,L_k2,eps_G_5,2.516080958757427e-5
53,L_k2,eps_G_5,2.2644728628816837e-5
54,L_k2,eps_G_5,2.038025576593515e-5
55,L_k2,eps_G_5,1.8342230189341636e-5
56,L_k2,eps_G_5,1.6508007170407465e-5
57,L_k2,eps_G_5,1.4857206453366715e-5
58,L_k2,eps_G_5,1.3371485808030041e-5
59,L_k2,eps_G_5,1.2034337227227034e-5
60,L_k2,eps_G_5,1.083090350450433e-5
61,L_k2,eps_G_5,9.747813154053894e-6
62,L_k2,eps_G_5,8.773031838648504e-6
63,L_k2,eps_G_5,7.895728654783654e-6
64,L_k2,eps_G_5,7.106155789305286e-6
65,L_k2,eps_G_5,6.395540210374756e-6
66,L_k2,eps_G_5,5.7559861893372794e-6
67,L_k2,eps_G_5,5.18038757040355e-6
68,L_k2,eps_G_5,4.662348813363194e-6
69,L_k2,eps_G_5,4.1961139320268735e-6
70,L_k2,eps_G_5,3.7765025388241858e-6
71,L_k2,eps_G_5,3.3988522849417667e-6
72,L_k2,eps_G_5,3.0589670564475894e-6
73,L_k2,eps_G_5,2.7530703508028303e-6
74,L_k2,eps_G_5,2.477763315722547e-6
75,L_k2,eps_G_5,2.2299869841502916e-6
76,L_k2,eps_G_5,2.006988285735262e-6
77,L_k2,eps_G_5,1.806289457161736e-6
78,L_k2,eps_G_5,1.6256605114455622e-6
79,L_k2,eps_G_5,1.4630944603010055e-6
80,L_k2,eps_G_5,1.3167850142709047e-6
81,L_k2,eps_G_5,1.185106512843814e-6
82,L_k2,eps_G_5,1.0665958615594327e-6
83,L_k2,eps_G_5,9.599362754034893e-7
84,L_k2,eps_G_5,8.639426478631402e-7
85,L_k2,eps_G_5,7.77548383076826e-7
86,L_k2,eps_G_5,6.997935447691433e-7
87,L_k2,eps_G_5,6.298141902922287e-7
88,L_k2,eps_G_5,5.668327712630058e-7
89,L_k2,eps_G_5,5.10149494136705e-7
90,L_k2,eps_G_5,4.591345447230346e-7
91,L_k2,eps_G_5,4.1322109025073104e-7
92,L_k2,eps_G_5,3.7189898122565783e-7
93,L_k2,eps_G_5,3.3470908310309203e-7
94,L_k2,eps_G_5,3.0123817479278277e-7
95,L_k2,eps_G_5,2.7111435731350444e-7
96,L_k2,eps_G_5,2.4400292158215396e-7
97,L_k2,eps_G_5,2.1960262942393855e-7
98,L_k2,eps_G_5,1.9764236648154466e-7
99,L_k2,eps_G_5,1.7787812983339018e-7
100,L_k2,eps_G_5,1.6009031685005112e-7
1,alpha_k2,eps_G_5,7.906595095084212e-20
2,alpha_k2,eps_G_5,8.115052560551699e-21
3,alpha_k2,eps_G_5,6.53312314559787e-21
4,alpha_k2,eps_G_5,5.1864290880292846e-21
5,alpha_k2,eps_G_5,4.043742610518429e-21
6,alpha_k2,eps_G_5,3.0777291376294452e-21
7,alpha_k2,eps_G_5,2.2644809332130685e-21
8,alpha_k2,eps_G_5,1.583105078303665e-21
9,alpha_k2,eps_G_5,1.0153595850440083e-21
10,alpha_k2,eps_G_5,5.453321396532407e-22
11,alpha_k2,eps_G_5,1.5915658749018333e-22
12,alpha_k2,eps_G_5,-1.5523717563679802e-22
13,alpha_k2,eps_G_5,-4.0834375201328837e-22
14,alpha_k2,eps_G_5,-6.092766413581156e-22
15,alpha_k2,eps_G_5,-7.65939515313848e-22
16,alpha_k2,eps_G_5,-8.85177048064854e-22
17,alpha_k2,eps_G_5,-9.72907679112523e-22
18,alpha_k2,eps_G_5,-1.0342404134700114e-21
19,alpha_k2,eps_G_5,-1.0735775241648788e-21
20,alpha_k2,eps_G_5,-1.094704808586074e-21
21,alpha_k2,eps_G_5,-1.1008708608813825e-21
22,alpha_k2,eps_G_5,-1.0948566546317689e-21
23,alpha_k2,eps_G_5,-1.0790365810232669e-21
24,alpha_k2,eps_G_5,-1.0554319555901476e-21
25,alpha_k2,eps_G_5,-1.0257578894334202e-21
26,alpha_k2,eps_G_5,-9.914643169521378e-22
27,alpha_k2,eps_G_5,-9.537718800727789e-22
28,alpha_k2,eps_G_5,-9.137032873997711e-22
29,alpha_k2,eps_G_5,-8.721106944606373e-22
30,alpha_k2,eps_G_5,-8.29699587235333e-22
31,alpha_k2,eps_G_5,-7.870495945104838e-22
32,alpha_k2,eps_G_5,-7.446326044582518e-22
33,alpha_k2,eps_G_5,-7.028285164713614e-22
34,alpha_k2,eps_G_5,-6.619389200372671e-22
35,alpha_k2,eps_G_5,-6.221989577252784e-22
36,alpha_k2,eps_G_5,-5.83787598675315e-22
37,alpha_k2,eps_G_5,-5.468365218580918e-22
38,alpha_k2,eps_G_5,-5.114377844175603e-22
39,alpha_k2,eps_G_5,-4.776504292465542e-22
40,alpha_k2,eps_G_5,-4.455061672655741e-22
41,alpha_k2,eps_G_5,-4.150142533883245e-22
42,alpha_k2,eps_G_5,-3.861656606138694e-22
43,alpha_k2,eps_G_5,-3.589366438604222e-22
44,alpha_k2,eps_G_5,-3.3329177385152584e-22
45,alpha_k2,eps_G_5,-3.0918651140580456e-22
46,alpha_k2,eps_G_5,-2.865693837107124e-22
47,alpha_k2,eps_G_5,-2.653838164405808e-22
48,alpha_k2,eps_G_5,-2.4556966878736835e-22
49,alpha_k2,eps_G_5,-2.270645125003928e-22
50,alpha_k2,eps_G_5,-2.0980469078293866e-22
51,alpha_k2,eps_G_5,-1.9372618828397143e-22
52,alpha_k2,eps_G_5,-1.7876533937696837e-22
53,alpha_k2,eps_G_5,-1.6485939836852623e-22
54,alpha_k2,eps_G_5,-1.5194699216800293e-22
55,alpha_k2,eps_G_5,-1.3996847322389905e-22
56,alpha_k2,eps_G_5,-1.2886618814693596e-22
57,alpha_k2,eps_G_5,-1.1858467535312648e-22
58,alpha_k2,eps_G_5,-1.0907080323660958e-22
59,alpha_k2,eps_G_5,-1.0027385878986482e-22
60,alpha_k2,eps_G_5,-9.214559520010296e-23
61,alpha_k2,eps_G_5,-8.464024574039483e-23
62,alpha_k2,eps_G_5,-7.771451022062731e-23
63,alpha_k2,eps_G_5,-7.132751934740937e-23
64,alpha_k2,eps_G_5,-6.544078154662876e-23
65,alpha_k2,eps_G_5,-6.001811611253019e-23
66,alpha_k2,eps_G_5,-5.502557594978506e-23
67,alpha_k2,eps_G_5,-5.0431362658463667e-23
68,alpha_k2,eps_G_5,-4.620573626590871e-23
69,alpha_k2,eps_G_5,-4.232092152528011e-23
70,alpha_k2,eps_G_5,-3.8751012370118145e-23
71,alpha_k2,eps_G_5,-3.547187583073579e-23
72,alpha_k2,eps_G_5,-3.246105647552873e-23
73,alpha_k2,eps_G_5,-2.9697682233055727e-23
74,alpha_k2,eps_G_5,-2.7162372274322045e-23
75,alpha_k2,eps_G_5,-2.4837147485004543e-23
76,alpha_k2,eps_G_5,-2.2705343930807324e-23
77,alpha_k2,eps_G_5,-2.0751529612599514e-23
78,alpha_k2,eps_G_5,-1.896142471872519e-23
79,alpha_k2,eps_G_5,-1.7321825507499747e-23
80,alpha_k2,eps_G_5,-1.5820531891332138e-23
81,alpha_k2,eps_G_5,-1.4446278743323056e-23
82,alpha_k2,eps_G_5,-1.3188670906002469e-23
83,alpha_k2,eps_G_5,-1.2038121848712773e-23
84,alpha_k2,eps_G_5,-1.0985795893820995e-23
85,alpha_k2,eps_G_5,-1.0023553911420443e-23
86,alpha_k2,eps_G_5,-9.143902366561794e-24
87,alpha_k2,eps_G_5,-8.339945591560673e-24
88,alpha_k2,eps_G_5,-7.605341147894157e-24
89,alpha_k2,eps_G_5,-6.934258137045341e-24
90,alpha_k2,eps_G_5,-6.3213383168873454e-24
91,alpha_k2,eps_G_5,-5.761659879390498e-24
92,alpha_k2,eps_G_5,-5.2507037462241474e-24
93,alpha_k2,eps_G_5,-4.784322240897162e-24
94,alpha_k2,eps_G_5,-4.358709999173332e-24
95,alpha_k2,eps_G_5,-3.970376983385298e-24
96,alpha_k2,eps_G_5,-3.6161234707631384e-24
97,alpha_k2,eps_G_5,-3.2930168908315575e-24
98,alpha_k2,eps_G_5,-2.9983703921786624e-24
99,alpha_k2,eps_G_5,-2.7297230243480306e-24
100,alpha_k2,eps_G_5,-2.484821426161739e-24
1,omega_a_basket_2,eps_G_5,-3.708658417074014e-20
2,omega_a_basket_2,eps_G_5,-3.752951772406763e-20
3,omega_a_basket_2,eps_G_5,-3.751299872502227e-20
4,omega_a_basket_2,eps_G_5,-3.7124488348545346e-20
5,omega_a_basket_2,eps_G_5,-3.6438550060113625e-20
6,omega_a_basket_2,eps_G_5,-3.551855454588283e-20
7,omega_a_basket_2,eps_G_5,-3.4418172633897093e-20
8,omega_a_basket_2,eps_G_5,-3.3182681558849704e-20
9,omega_a_basket_2,eps_G_5,-3.1850106972472846e-20
10,omega_a_basket_2,eps_G_5,-3.0452220487782887e-20
11,omega_a_basket_2,eps_G_5,-2.9015410230306213e-20
12,omega_a_basket_2,eps_G_5,-2.756143981944706e-20
13,omega_a_basket_2,eps_G_5,-2.6108109388456696e-20
14,omega_a_basket_2,eps_G_5,-2.466983064546995e-20
15,omega_a_basket_2,eps_G_5,-2.3258126557196e-20
16,omega_a_basket_2,eps_G_5,-2.1882064980122153e-20
17,omega_a_basket_2,eps_G_5,-2.0548634452891127e-20
18,omega_a_basket_2,eps_G_5,-1.9263069381305093e-20
19,omega_a_basket_2,eps_G_5,-1.8029130979507365e-20
20,omega_a_basket_2,eps_G_5,-1.684934956425614e-20
21,omega_a_basket_2,eps_G_5,-1.572523312226009e-20
22,omega_a_basket_2,eps_G_5,-1.46574464730207e-20
23,omega_a_basket_2,eps_G_5,-1.364596482240659e-20
24,omega_a_basket_2,eps_G_5,-1.26902050371851e-20
25,omega_a_basket_2,eps_G_5,-1.1789137560783848e-20
26,omega_a_basket_2,eps_G_5,-1.0941381529291e-20
27,omega_a_basket_2,eps_G_5,-1.0145285328488888e-20
28,omega_a_basket_2,eps_G_5,-9.39899455255429e-21
29,omega_a_basket_2,eps_G_5,-8.700509078521727e-21
30,omega_a_basket_2,eps_G_5,-8.047730753770136e-21
31,omega_a_basket_2,eps_G_5,-7.43850300318365e-21
32,omega_a_basket_2,eps_G_5,-6.87064349517676e-21
33,omega_a_basket_2,eps_G_5,-6.341970858739415e-21
34,omega_a_basket_2,eps_G_5,-5.850326314637773e-21
35,omega_a_basket_2,eps_G_5,-5.393590970769067e-21
36,omega_a_basket_2,eps_G_5,-4.969699432527726e-21
37,omega_a_basket_2,eps_G_5,-4.576650292226963e-21
38,omega_a_basket_2,eps_G_5,-4.2125139856610776e-21
39,omega_a_basket_2,eps_G_5,-3.8754384374861e-21
40,omega_a_basket_2,eps_G_5,-3.563652859089509e-21
41,omega_a_basket_2,eps_G_5,-3.2754700119973757e-21
42,omega_a_basket_2,eps_G_5,-3.0092872057327748e-21
43,omega_a_basket_2,eps_G_5,-2.763586260601121e-21
44,omega_a_basket_2,eps_G_5,-2.536932632438471e-21
45,omega_a_basket_2,eps_G_5,-2.3279738673023403e-21
46,omega_a_basket_2,eps_G_5,-2.1354375288690517e-21
47,omega_a_basket_2,eps_G_5,-1.958128719449398e-21
48,omega_a_basket_2,eps_G_5,-1.7949272966249846e-21
49,omega_a_basket_2,eps_G_5,-1.6447848711709604e-21
50,omega_a_basket_2,eps_G_5,-1.5067216578414915e-21
51,omega_a_basket_2,eps_G_5,-1.3798232384662071e-21
52,omega_a_basket_2,eps_G_5,-1.263237286387565e-21
53,omega_a_basket_2,eps_G_5,-1.1561702923399895e-21
54,omega_a_basket_2,eps_G_5,-1.0578843242380537e-21
55,omega_a_basket_2,eps_G_5,-9.676938468331054e-22
56,omega_a_basket_2,eps_G_5,-8.849626216667663e-22
57,omega_a_basket_2,eps_G_5,-8.091007030653642e-22
58,omega_a_basket_2,eps_G_5,-7.39561541967575e-22
59,omega_a_basket_2,eps_G_5,-6.758392060586901e-22
60,omega_a_basket_2,eps_G_5,-6.174657219119065e-22
61,omega_a_basket_2,eps_G_5,-5.6400854253389295e-22
62,omega_a_basket_2,eps_G_5,-5.150681418123631e-22
63,omega_a_basket_2,eps_G_5,-4.702757358098004e-22
64,omega_a_basket_2,eps_G_5,-4.292911295896266e-22
65,omega_a_basket_2,eps_G_5,-3.918006872553897e-22
66,omega_a_basket_2,eps_G_5,-3.57515422092104e-22
67,omega_a_basket_2,eps_G_5,-3.2616920308892154e-22
68,omega_a_basket_2,eps_G_5,-2.975170736654546e-22
69,omega_a_basket_2,eps_G_5,-2.7133367809579186e-22
70,omega_a_basket_2,eps_G_5,-2.474117909034072e-22
71,omega_a_basket_2,eps_G_5,-2.255609443685416e-22
72,omega_a_basket_2,eps_G_5,-2.0560614923161505e-22
73,omega_a_basket_2,eps_G_5,-1.8738670367838844e-22
74,omega_a_basket_2,eps_G_5,-1.7075508574349102e-22
75,omega_a_basket_2,eps_G_5,-1.5557592435878922e-22
76,omega_a_basket_2,eps_G_5,-1.417250443935929e-22
77,omega_a_basket_2,eps_G_5,-1.2908858117784798e-22
78,omega_a_basket_2,eps_G_5,-1.1756216016131614e-22
79,omega_a_basket_2,eps_G_5,-1.070501375363122e-22
80,omega_a_basket_2,eps_G_5,-9.746489783469588e-23
81,omega_a_basket_2,eps_G_5,-8.872620469803973e-23
82,omega_a_basket_2,eps_G_5,-8.076060121036786e-23
83,omega_a_basket_2,eps_G_5,-7.350085637324998e-23
84,omega_a_basket_2,eps_G_5,-6.6885454491452e-23
85,omega_a_basket_2,eps_G_5,-6.085812442228113e-23
86,omega_a_basket_2,eps_G_5,-5.536740582202991e-23
87,omega_a_basket_2,eps_G_5,-5.0366249697606145e-23
88,omega_a_basket_2,eps_G_5,-4.581165073984683e-23
89,omega_a_basket_2,eps_G_5,-4.166430907666333e-23
90,omega_a_basket_2,eps_G_5,-3.7888319238718064e-23
91,omega_a_basket_2,eps_G_5,-3.4450884277595224e-23
92,omega_a_basket_2,eps_G_5,-3.132205311630977e-23
93,omega_a_basket_2,eps_G_5,-2.8474479344505465e-23
94,omega_a_basket_2,eps_G_5,-2.5883199795898923e-23
95,omega_a_basket_2,eps_G_5,-2.3525431363568638e-23
96,omega_a_basket_2,eps_G_5,-2.1380384619745425e-23
97,omega_a_basket_2,eps_G_5,-1.942909291105117e-23
98,omega_a_basket_2,eps_G_5,-1.7654255697898315e-23
99,omega_a_basket_2,eps_G_5,-1.6040094998265522e-23
100,omega_a_basket_2,eps_G_5,-1.4572223881580307e-23
1,R_1,eps_G_5,0.0003986620549432388
2,R_1,eps_G_5,0.000358795849448915
3,R_1,eps_G_5,0.0003229162645040234
4,R_1,eps_G_5,0.000290624638053621
5,R_1,eps_G_5,0.0002615621742482589
6,R_1,eps_G_5,0.00023540595682343296
7,R_1,eps_G_5,0.00021186536114108963
8,R_1,eps_G_5,0.0001906788250269806
9,R_1,eps_G_5,0.00017161094252428252
10,R_1,eps_G_5,0.00015444984827185423
11,R_1,eps_G_5,0.0001390048634446688
12,R_1,eps_G_5,0.0001251043771002019
13,R_1,eps_G_5,0.00011259393939018167
14,R_1,eps_G_5,0.0001013345454511635
15,R_1,eps_G_5,9.120109090604713e-5
16,R_1,eps_G_5,8.20809818154424e-5
17,R_1,eps_G_5,7.387288363389815e-5
18,R_1,eps_G_5,6.648559527050831e-5
19,R_1,eps_G_5,5.983703574345747e-5
20,R_1,eps_G_5,5.385333216911171e-5
21,R_1,eps_G_5,4.846799895220053e-5
22,R_1,eps_G_5,4.3621199056980475e-5
23,R_1,eps_G_5,3.9259079151282416e-5
24,R_1,eps_G_5,3.533317123615418e-5
25,R_1,eps_G_5,3.179985411253875e-5
26,R_1,eps_G_5,2.8619868701284875e-5
27,R_1,eps_G_5,2.5757881831156383e-5
28,R_1,eps_G_5,2.318209364804074e-5
29,R_1,eps_G_5,2.0863884283236662e-5
30,R_1,eps_G_5,1.8777495854912997e-5
31,R_1,eps_G_5,1.6899746269421695e-5
32,R_1,eps_G_5,1.520977164247952e-5
33,R_1,eps_G_5,1.3688794478231568e-5
34,R_1,eps_G_5,1.231991503040841e-5
35,R_1,eps_G_5,1.1087923527367565e-5
36,R_1,eps_G_5,9.979131174630808e-6
37,R_1,eps_G_5,8.981218057167725e-6
38,R_1,eps_G_5,8.08309625145095e-6
39,R_1,eps_G_5,7.274786626305854e-6
40,R_1,eps_G_5,6.5473079636752675e-6
41,R_1,eps_G_5,5.89257716730774e-6
42,R_1,eps_G_5,5.3033194505769655e-6
43,R_1,eps_G_5,4.772987505519267e-6
44,R_1,eps_G_5,4.2956887549673395e-6
45,R_1,eps_G_5,3.8661198794706055e-6
46,R_1,eps_G_5,3.479507891523544e-6
47,R_1,eps_G_5,3.131557102371189e-6
48,R_1,eps_G_5,2.8184013921340696e-6
49,R_1,eps_G_5,2.536561252920662e-6
50,R_1,eps_G_5,2.2829051276285957e-6
51,R_1,eps_G_5,2.054614614865736e-6
52,R_1,eps_G_5,1.849153153379162e-6
53,R_1,eps_G_5,1.6642378380412453e-6
54,R_1,eps_G_5,1.4978140542371206e-6
55,R_1,eps_G_5,1.3480326488134084e-6
56,R_1,eps_G_5,1.213229383932067e-6
57,R_1,eps_G_5,1.0919064455388602e-6
58,R_1,eps_G_5,9.82715800984974e-7
59,R_1,eps_G_5,8.844442208864764e-7
60,R_1,eps_G_5,7.959997987978288e-7
61,R_1,eps_G_5,7.163998189180457e-7
62,R_1,eps_G_5,6.44759837026241e-7
63,R_1,eps_G_5,5.802838533236168e-7
64,R_1,eps_G_5,5.22255467991255e-7
65,R_1,eps_G_5,4.7002992119212953e-7
66,R_1,eps_G_5,4.230269290729165e-7
67,R_1,eps_G_5,3.807242361656247e-7
68,R_1,eps_G_5,3.4265181254906224e-7
69,R_1,eps_G_5,3.0838663129415594e-7
70,R_1,eps_G_5,2.7754796816474027e-7
71,R_1,eps_G_5,2.497931713482662e-7
72,R_1,eps_G_5,2.2481385421343953e-7
73,R_1,eps_G_5,2.0233246879209555e-7
74,R_1,eps_G_5,1.8209922191288598e-7
75,R_1,eps_G_5,1.6388929972159734e-7
76,R_1,eps_G_5,1.4750036974943763e-7
77,R_1,eps_G_5,1.3275033277449385e-7
78,R_1,eps_G_5,1.1947529949704444e-7
79,R_1,eps_G_5,1.0752776954733995e-7
80,R_1,eps_G_5,9.677499259260596e-8
81,R_1,eps_G_5,8.709749333334535e-8
82,R_1,eps_G_5,7.838774400001081e-8
83,R_1,eps_G_5,7.054896960000974e-8
84,R_1,eps_G_5,6.349407264000873e-8
85,R_1,eps_G_5,5.714466537600785e-8
86,R_1,eps_G_5,5.1430198838407056e-8
87,R_1,eps_G_5,4.628717895456634e-8
88,R_1,eps_G_5,4.16584610591097e-8
89,R_1,eps_G_5,3.749261495319872e-8
90,R_1,eps_G_5,3.3743353457878837e-8
91,R_1,eps_G_5,3.036901811209096e-8
92,R_1,eps_G_5,2.7332116300881856e-8
93,R_1,eps_G_5,2.4598904670793664e-8
94,R_1,eps_G_5,2.2139014203714294e-8
95,R_1,eps_G_5,1.9925112783342863e-8
96,R_1,eps_G_5,1.7932601505008575e-8
97,R_1,eps_G_5,1.6139341354507713e-8
98,R_1,eps_G_5,1.4525407219056941e-8
99,R_1,eps_G_5,1.3072866497151246e-8
100,R_1,eps_G_5,1.1765579847436119e-8
1,R_2,eps_G_5,0.00039866205494323885
2,R_2,eps_G_5,0.0003587958494489149
3,R_2,eps_G_5,0.00032291626450402336
4,R_2,eps_G_5,0.00029062463805362097
5,R_2,eps_G_5,0.00026156217424825885
6,R_2,eps_G_5,0.00023540595682343296
7,R_2,eps_G_5,0.00021186536114108963
8,R_2,eps_G_5,0.00019067882502698063
9,R_2,eps_G_5,0.00017161094252428254
10,R_2,eps_G_5,0.00015444984827185426
11,R_2,eps_G_5,0.00013900486344466882
12,R_2,eps_G_5,0.00012510437710020194
13,R_2,eps_G_5,0.0001125939393901817
14,R_2,eps_G_5,0.00010133454545116351
15,R_2,eps_G_5,9.120109090604714e-5
16,R_2,eps_G_5,8.208098181544242e-5
17,R_2,eps_G_5,7.387288363389818e-5
18,R_2,eps_G_5,6.648559527050834e-5
19,R_2,eps_G_5,5.983703574345749e-5
20,R_2,eps_G_5,5.3853332169111736e-5
21,R_2,eps_G_5,4.846799895220056e-5
22,R_2,eps_G_5,4.36211990569805e-5
23,R_2,eps_G_5,3.925907915128244e-5
24,R_2,eps_G_5,3.53331712361542e-5
25,R_2,eps_G_5,3.179985411253877e-5
26,R_2,eps_G_5,2.8619868701284892e-5
27,R_2,eps_G_5,2.5757881831156403e-5
28,R_2,eps_G_5,2.3182093648040758e-5
29,R_2,eps_G_5,2.0863884283236682e-5
30,R_2,eps_G_5,1.877749585491301e-5
31,R_2,eps_G_5,1.6899746269421708e-5
32,R_2,eps_G_5,1.5209771642479534e-5
33,R_2,eps_G_5,1.368879447823158e-5
34,R_2,eps_G_5,1.231991503040842e-5
35,R_2,eps_G_5,1.1087923527367576e-5
36,R_2,eps_G_5,9.979131174630818e-6
37,R_2,eps_G_5,8.981218057167735e-6
38,R_2,eps_G_5,8.083096251450961e-6
39,R_2,eps_G_5,7.2747866263058625e-6
40,R_2,eps_G_5,6.547307963675275e-6
41,R_2,eps_G_5,5.8925771673077465e-6
42,R_2,eps_G_5,5.303319450576972e-6
43,R_2,eps_G_5,4.772987505519273e-6
44,R_2,eps_G_5,4.295688754967345e-6
45,R_2,eps_G_5,3.866119879470611e-6
46,R_2,eps_G_5,3.4795078915235488e-6
47,R_2,eps_G_5,3.131557102371194e-6
48,R_2,eps_G_5,2.818401392134074e-6
49,R_2,eps_G_5,2.536561252920666e-6
50,R_2,eps_G_5,2.2829051276285995e-6
51,R_2,eps_G_5,2.054614614865739e-6
52,R_2,eps_G_5,1.8491531533791648e-6
53,R_2,eps_G_5,1.6642378380412483e-6
54,R_2,eps_G_5,1.4978140542371229e-6
55,R_2,eps_G_5,1.3480326488134105e-6
56,R_2,eps_G_5,1.2132293839320694e-6
57,R_2,eps_G_5,1.091906445538862e-6
58,R_2,eps_G_5,9.82715800984976e-7
59,R_2,eps_G_5,8.844442208864781e-7
60,R_2,eps_G_5,7.959997987978302e-7
61,R_2,eps_G_5,7.163998189180471e-7
62,R_2,eps_G_5,6.447598370262423e-7
63,R_2,eps_G_5,5.80283853323618e-7
64,R_2,eps_G_5,5.222554679912561e-7
65,R_2,eps_G_5,4.700299211921305e-7
66,R_2,eps_G_5,4.2302692907291733e-7
67,R_2,eps_G_5,3.8072423616562554e-7
68,R_2,eps_G_5,3.426518125490629e-7
69,R_2,eps_G_5,3.0838663129415663e-7
70,R_2,eps_G_5,2.775479681647409e-7
71,R_2,eps_G_5,2.497931713482668e-7
72,R_2,eps_G_5,2.248138542134401e-7
73,R_2,eps_G_5,2.0233246879209605e-7
74,R_2,eps_G_5,1.820992219128864e-7
75,R_2,eps_G_5,1.6388929972159776e-7
76,R_2,eps_G_5,1.47500369749438e-7
77,R_2,eps_G_5,1.3275033277449416e-7
78,R_2,eps_G_5,1.1947529949704473e-7
79,R_2,eps_G_5,1.0752776954734024e-7
80,R_2,eps_G_5,9.677499259260621e-8
81,R_2,eps_G_5,8.709749333334557e-8
82,R_2,eps_G_5,7.838774400001101e-8
83,R_2,eps_G_5,7.054896960000991e-8
84,R_2,eps_G_5,6.349407264000892e-8
85,R_2,eps_G_5,5.7144665376008006e-8
86,R_2,eps_G_5,5.1430198838407195e-8
87,R_2,eps_G_5,4.628717895456647e-8
88,R_2,eps_G_5,4.165846105910982e-8
89,R_2,eps_G_5,3.7492614953198826e-8
90,R_2,eps_G_5,3.3743353457878936e-8
91,R_2,eps_G_5,3.036901811209105e-8
92,R_2,eps_G_5,2.733211630088194e-8
93,R_2,eps_G_5,2.459890467079374e-8
94,R_2,eps_G_5,2.2139014203714364e-8
95,R_2,eps_G_5,1.9925112783342926e-8
96,R_2,eps_G_5,1.793260150500863e-8
97,R_2,eps_G_5,1.6139341354507766e-8
98,R_2,eps_G_5,1.4525407219056987e-8
99,R_2,eps_G_5,1.3072866497151289e-8
100,R_2,eps_G_5,1.1765579847436157e-8
1,R_3,eps_G_5,0.0006568289392223583
2,R_3,eps_G_5,0.0005911460453001229
3,R_3,eps_G_5,0.0005320314407701105
4,R_3,eps_G_5,0.00047882829669309944
5,R_3,eps_G_5,0.0004309454670237894
6,R_3,eps_G_5,0.0003878509203214105
7,R_3,eps_G_5,0.0003490658282892694
8,R_3,eps_G_5,0.0003141592454603424
9,R_3,eps_G_5,0.0002827433209143081
10,R_3,eps_G_5,0.0002544689888228773
11,R_3,eps_G_5,0.00022902208994058957
12,R_3,eps_G_5,0.0002061198809465306
13,R_3,eps_G_5,0.0001855078928518775
14,R_3,eps_G_5,0.00016695710356668975
15,R_3,eps_G_5,0.00015026139321002075
16,R_3,eps_G_5,0.00013523525388901866
17,R_3,eps_G_5,0.00012171172850011676
18,R_3,eps_G_5,0.00010954055565010508
19,R_3,eps_G_5,9.858650008509456e-5
20,R_3,eps_G_5,8.872785007658508e-5
21,R_3,eps_G_5,7.985506506892658e-5
22,R_3,eps_G_5,7.186955856203392e-5
23,R_3,eps_G_5,6.468260270583052e-5
24,R_3,eps_G_5,5.821434243524747e-5
25,R_3,eps_G_5,5.2392908191722716e-5
26,R_3,eps_G_5,4.715361737255045e-5
27,R_3,eps_G_5,4.24382556352954e-5
28,R_3,eps_G_5,3.819443007176585e-5
29,R_3,eps_G_5,3.437498706458927e-5
30,R_3,eps_G_5,3.093748835813034e-5
31,R_3,eps_G_5,2.7843739522317303e-5
32,R_3,eps_G_5,2.505936557008557e-5
33,R_3,eps_G_5,2.2553429013077012e-5
34,R_3,eps_G_5,2.029808611176931e-5
35,R_3,eps_G_5,1.8268277500592375e-5
36,R_3,eps_G_5,1.6441449750533142e-5
37,R_3,eps_G_5,1.4797304775479821e-5
38,R_3,eps_G_5,1.3317574297931838e-5
39,R_3,eps_G_5,1.1985816868138654e-5
40,R_3,eps_G_5,1.0787235181324787e-5
41,R_3,eps_G_5,9.708511663192307e-6
42,R_3,eps_G_5,8.737660496873074e-6
43,R_3,eps_G_5,7.863894447185767e-6
44,R_3,eps_G_5,7.077505002467189e-6
45,R_3,eps_G_5,6.369754502220471e-6
46,R_3,eps_G_5,5.732779051998423e-6
47,R_3,eps_G_5,5.15950114679858e-6
48,R_3,eps_G_5,4.643551032118722e-6
49,R_3,eps_G_5,4.179195928906849e-6
50,R_3,eps_G_5,3.761276336016164e-6
51,R_3,eps_G_5,3.385148702414547e-6
52,R_3,eps_G_5,3.0466338321730917e-6
53,R_3,eps_G_5,2.7419704489557828e-6
54,R_3,eps_G_5,2.467773404060204e-6
55,R_3,eps_G_5,2.2209960636541837e-6
56,R_3,eps_G_5,1.9988964572887648e-6
57,R_3,eps_G_5,1.7990068115598884e-6
58,R_3,eps_G_5,1.619106130403899e-6
