Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,1.3681868870327595e-20,-5.567833895492388e-20,9.804458927925875e-20,4.902229463962937e-20,-2.113029941363335e-20,-0.00011111111111111236,0.00022222222222222226,-0.0005555555555555557,-1.3861476415343477e-19,-1.8087536298070147e-19,4.22605988272667e-21,-6.761695812362672e-21
2,-4.594714465861458e-20,-1.2050467874929127e-20,1.5285947625189502e-20,-1.4279960433753573e-20,-3.2131195512958334e-20,-9.999999999999915e-5,0.00020000000000000004,-0.0005,5.715623629158049e-20,-7.028989561780148e-22,8.808952050221996e-22,2.0643004091786337e-21
3,-4.9032021388845814e-20,-2.3085369270107275e-20,4.189377692935656e-20,-1.3944945751881067e-20,-2.18204513454844e-20,-8.999999999999923e-5,0.00018000000000000007,-0.00044999999999999993,2.7563231549387003e-20,4.509987082584043e-20,7.817391658730488e-22,4.43667647372123e-21
4,-5.104045132644467e-20,-3.17927857075005e-20,6.30271808964383e-20,-1.3534134402045539e-20,-1.3250544056375668e-20,-8.099999999999931e-5,0.00016200000000000006,-0.00040499999999999987,3.3172653927163923e-21,8.174911564101696e-20,6.936053825035063e-22,6.313934321263521e-21
5,-5.2156875062635286e-20,-3.8527865164714e-20,7.951496630081012e-20,-1.3066035864658306e-20,-6.176413711633843e-21,-7.289999999999937e-5,0.0001458000000000001,-0.00036449999999999986,-1.6355139848113957e-20,1.106175127848998e-19,6.152809641491415e-22,7.771373834560139e-21
6,-5.2539609538323353e-20,-4.35980008734098e-20,9.207492281534318e-20,-1.2556215690728073e-20,-3.846039952766344e-22,-6.560999999999945e-5,0.0001312200000000001,-0.0003280499999999998,-3.212623669470539e-20,1.328947393435959e-19,5.456853756406146e-22,8.874186101984801e-21
7,-5.232422836824746e-20,-4.7268830788719276e-20,1.0132773836396154e-19,-1.2017699192937298e-20,4.310607914925475e-21,-5.90489999999995e-5,0.00011809800000000012,-0.0002952449999999998,-4.457956277349738e-20,1.4961034546270378e-19,4.83856095192302e-22,9.678722177578927e-21
8,-5.1626527336803507e-20,-4.9769514712232775e-20,1.0780924157470277e-19,-1.1461323837797395e-20,8.070623483039928e-21,-5.3144099999999544e-5,0.0001062882000000001,-0.0002657204999999998,-5.422096126958394e-20,1.616538829645541e-19,4.289358170772459e-22,1.0233609177034379e-20
9,-5.0545124227965874e-20,-5.1297373543156383e-20,1.1198116675965614e-19,-1.0896046561756116e-20,1.1035529858382231e-20,-4.782968999999959e-5,9.565938000000012e-5,-0.0002391484499999998,-6.14882844387182e-20,1.6979260951140738e-19,3.80161033633278e-22,1.0580731554822953e-20
10,-4.916373646752775e-20,-5.202196546077294e-20,1.1424061449187182e-19,-1.0329211502545114e-20,1.3326748723825666e-20,-4.3046720999999634e-5,8.609344200000011e-5,-0.0002152336049999998,-6.67599333613298e-20,1.7468705191924442e-19,3.3685184870733135e-22,1.0756093365283466e-20
