Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,-8.595411760601031e-19,0.01,1.9602032226206104e-20,-1.6802138287226653e-19,1.2829614317211263e-18,-1.5143745824664787e-19,6.064140950074345e-19,-1.8832067805884947e-19,-2.0975627368644976e-19,-1.392298737879796e-18,2.4464097608734788e-21,5.446535862379616e-20
2,-5.343607351242227e-19,0.009000000000000001,8.314877724874174e-19,-2.493127812070443e-19,1.2048464910481016e-18,-2.3138489180563147e-19,9.338777063114492e-19,-4.963581530646617e-20,-3.314257414927412e-19,-2.860491416441117e-18,1.3207071294095382e-20,1.0042904964735127e-19
3,-2.656209706149171e-19,0.008100000000000001,1.4808003443741244e-18,-3.1266568604614406e-19,1.1295249241924705e-18,-2.9382846407035187e-19,1.1897844544045868e-18,6.319528167602905e-20,-4.2666375300091017e-19,-4.021122571911376e-18,2.1791136423064174e-20,1.3665534887995736e-19
4,-4.5285551656230295e-20,0.007290000000000002,1.9919355241586158e-18,-3.608548821053536e-19,1.0572192057974848e-18,-3.414694729640719e-19,1.3851710758159826e-18,1.5395651741508994e-19,-4.995399047925181e-19,-4.921022582123173e-18,2.8526317813298255e-20,1.6463209776956872e-19
5,1.3363899321686841e-19,0.006561000000000003,2.3860356645424675e-18,-3.9627958209225987e-19,9.880793818395716e-19,-3.7664399543834434e-19,1.5295825284010533e-18,2.259335531895785e-19,-5.535741886957955e-19,-5.600731364573496e-18,3.369655156125489e-20,1.8564694339245821e-19
6,2.772314846319098e-19,0.005904900000000003,2.681396421607963e-18,-4.2101079326073146e-19,9.221953306152663e-19,-4.0136891868812166e-19,1.63125997971095e-18,2.819756166350184e-19,-5.918062167704925e-19,-6.095288164712523e-18,3.7547475381487215e-20,2.008124989130741e-19
7,3.907690878317743e-19,0.005314410000000004,2.8938246706149344e-18,-4.368329663745862e-19,8.596072958174264e-19,-4.1738241733356005e-19,1.6973061154748567e-18,3.245499318594746e-19,-6.168560973432923e-19,-6.43492629117801e-18,4.0291248922060525e-20,2.1108847389564223e-19
8,4.788268555453468e-19,0.004782969000000004,3.0369533056044323e-18,-4.452805969330628e-19,8.003149146730019e-19,-4.2617952706302957e-19,1.7338304242888727e-18,3.5578962787268944e-19,-6.309779396338274e-19,-6.6456839107032745e-18,4.211079300070431e-20,2.17301128892566e-19
9,5.453653788378872e-19,0.004304672100000005,3.122517966889881e-18,-4.476703717160983e-19,7.442849367992881e-19,-4.2904339067326955e-19,1.746076810185337e-18,3.7753588536466666e-19,-6.361068524928225e-19,-6.749940743411707e-18,4.3163515774398735e-20,2.2016036815114855e-19
10,5.938079289164663e-19,0.0038742048900000047,3.160600162862196e-18,-4.451293855731963e-19,6.914578053535872e-19,-4.270726862908313e-19,1.73853561465962e-18,3.913749950795216e-19,-6.339002033836806e-19,-6.766889370471419e-18,4.3584586063347237e-20,2.202747482690889e-19
11,6.271083151909507e-19,0.0034867844010000046,3.159840739971149e-18,-4.386198929417136e-19,6.417532508290336e-19,-4.21205688878148e-19,1.7150418901371928e-18,3.986709239977589e-19,-6.257738155714388e-19,-6.7129488646850726e-18,4.348980713676205e-20,2.181646486819297e-19
12,6.478105449213736e-19,0.0031381059609000045,3.1276272000296896e-18,-4.289610049807956e-19,5.950750291558548e-19,-4.12241364085093e-19,1.6788615543726548e-18,4.005939171815535e-19,-6.129337032878087e-19,-6.602127566351281e-18,4.2978138134860436e-20,2.1427382152951148e-19
13,6.581012455538025e-19,0.0028242953648100044,3.0702579606768102e-18,-4.1684769568264414e-19,5.513149193090215e-19,-4.0085784736186754e-19,1.6327668668596525e-18,3.981456024886117e-19,-5.964038753051903e-19,-6.4463410390373976e-18,4.213390486197152e-20,2.0897951332075756e-19
14,6.59855700610532e-19,0.0025418658283290043,2.9930862971942104e-18,-4.028674381943151e-19,5.103560811399964e-19,-3.8762862034243627e-19,1.5791025013055242e-18,3.9218101156244267e-19,-5.770506758862176e-19,-6.255690541522778e-18,4.102873686231179e-20,2.026013285384593e-19
