Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,1.2903400731624738e-19,-7.061657996279176e-20,1.418975541362689e-19,1.4327036621919132e-19,-1.0842021724855044e-19,-1.4953455073371015e-20,-1.260137542387859e-19,-0.0005555555555555556,0.0019999999999999996,-0.0009999999999999998,1.3441356158289046e-21,-2.893918257526303e-20
2,4.918577042071726e-19,-1.4013202521105382e-19,3.013253600038031e-19,2.1507108401422207e-19,4.650590673031135e-20,-2.2304486714310613e-20,-5.54985638822406e-20,-0.0005,0.0017999999999999993,-0.0008999999999999997,3.935397229945934e-21,-2.7686023050417256e-20
3,7.798352930984628e-19,-1.9503821561003546e-19,4.274486291564677e-19,2.7209452422683285e-19,1.0557393633707365e-19,-2.047346732324218e-20,-9.930759739925968e-20,-0.00044999999999999993,0.0016199999999999993,-0.0008099999999999996,4.680363836039859e-21,-2.863707338718808e-20
4,1.0052987871694235e-18,-2.375618476771102e-19,5.253339908785614e-19,3.1556256555677925e-19,1.5236330095518031e-19,-1.8785606943244314e-20,-1.3379983857405253e-19,-0.00040499999999999976,0.0014579999999999994,-0.0007289999999999996,5.2369831486155404e-21,-2.9121053426100583e-20
5,1.1778712294952071e-18,-2.6963037117466965e-19,5.993677939646717e-19,3.4761605337846817e-19,1.887390532862949e-19,-1.723058396601359e-20,-1.6040055553989422e-19,-0.0003644999999999997,0.0013121999999999995,-0.0006560999999999995,5.635474960315689e-21,-2.9221866723358715e-20
6,1.3058761954841397e-18,-2.92909571495946e-19,6.533414965247743e-19,3.701032179802515e-19,2.1631602214163469e-19,-1.5798709514796554e-20,-1.8034313072682708e-19,-0.0003280499999999996,0.0011809799999999997,-0.0005904899999999996,5.901898578189653e-21,-2.9011306826904214e-20
7,1.3965014559803338e-18,-3.088366280412204e-19,6.905267806332096e-19,3.846167891278936e-19,2.364902066930436e-19,-1.4480904114162787e-20,-1.9469318532097442e-19,-0.00029524499999999954,0.0010628819999999996,-0.0005314409999999997,6.058682722885671e-21,-2.855064024250706e-20
8,1.4559429024224476e-18,-3.186491775624805e-19,7.137415929547101e-19,3.925266138662048e-19,2.504663941127544e-19,-1.3268672698507795e-20,-2.04369797689024e-19,-0.0002657204999999995,0.0009565937999999996,-0.0004782968999999996,6.125091052860587e-21,-2.789199390672028e-20
9,1.4895310450163356e-18,-3.234108508990763e-19,7.2540817500557865e-19,3.950083057655748e-19,2.592824419815925e-19,-1.2154078524842173e-20,-2.1016415573025397e-19,-0.0002391484499999995,0.0008609344199999997,-0.00043046720999999967,6.1176308896116655e-21,-2.7079570435665803e-20
10,1.5018421300672213e-18,-3.2403369779272813e-19,7.276040247167262e-19,3.930683931464087e-19,2.6383061633553553e-19,-1.1129716458924589e-20,-2.127559441863477e-19,-0.0002152336049999995,0.0007748409779999996,-0.00038742048899999965,6.050411848483926e-21,-2.6150711719755026e-20
11,1.4967956876577665e-18,-3.212978667986588e-19,7.221066227355884e-19,3.875663799934202e-19,2.6487633139887397e-19,-1.0188686020942096e-20,-2.1272773339392016e-19,-0.00019371024449999947,0.0006973568801999996,-0.0003486784400999997,5.9354603066856164e-21,-2.5136829042669755e-20
12,1.4777401124295303e-18,-3.15868865025476e-19,7.104326609035109e-19,3.7923408553956525e-19,2.6307459728618933e-19,-9.324564505966851e-21,-2.1057760531811462e-19,-0.00017433922004999946,0.0006276211921799996,-0.0003138105960899997,5.7829949547621305e-21,-2.4064215783804e-20
13,1.4475276953703636e-18,-3.0831268493894313e-19,6.93872425210493e-19,3.6869258617654706e-19,2.589844466820529e-19,-8.53138043377723e-21,-2.06730225523531e-19,-0.0001569052980449995,0.0005648590729619996,-0.0002824295364809997,5.601668070156486e-21,-2.2954756886284694e-20
14,1.4085803605987353e-18,-2.991090522194621e-19,6.735199100470436e-19,3.5646704583073697e-19,2.5308158022588184e-19,-7.803587530965861e-21,-2.0154654563468296e-19,-0.0001412147682404995,0.0005083731656657996,-0.00025418658283289967,5.398776612924352e-21,-2.182654761043121e-20
15,1.3629472158277286e-18,-2.8866301919448777e-19,6.502991736641791e-19,3.429996876923234e-19,2.4576944259412444e-19,-7.136039404378989e-21,-1.9533229946836923e-19,-0.00012709329141644948,0.0004575358490992195,-0.00022876792454960972,5.1804467664370785e-21,-2.069443262088558e-20
16,1.3123548964049361e-18,-2.773151022523138e-19,6.249873854574172e-19,3.2866113072328524e-19,2.3738891668645972e-19,-6.523965027799831e-21,-1.8834543707897145e-19,-0.0001143839622748045,0.0004117822641892975,-0.00020589113209464876,4.951795123118019e-21,-1.9570475153144772e-20
17,1.2582515687084248e-18,-2.6535013850662974e-19,5.98234963155366e-19,3.137602882711314e-19,2.2822680153438667e-19,-5.9629451324927096e-21,-1.8080262417276952e-19,-0.00010294556604732401,0.00037060403777036774,-0.00018530201888518387,4.717069340798398e-21,-1.8464364852743273e-20
18,1.2018453575871663e-18,-2.530050164875593e-19,5.705831514591507e-19,2.9855300300217554e-19,2.1852322024586364e-19,-5.4488895659690135e-21,-1.7288491947701825e-19,-9.265100944259158e-5,0.000333543633993331,-0.00016677181699666546,4.479770763711523e-21,-1.7383771860890632e-20
19,1.1441378730030752e-18,-2.4047541748723665e-19,5.424793524706247e-19,2.8324957190429963e-19,2.0847808719970136e-19,-4.9780156614251286e-21,-1.6474272947868956e-19,-8.33859084983324e-5,0.00030018927059399786,-0.0001500946352969989,4.2427612086340405e-21,-1.6334653818881086e-20
20,1.0859534317599308e-18,-2.279216881221029e-19,5.142904817652125e-19,2.680212969959771e-19,1.9825674856031295e-19,-4.546827642130328e-21,-1.5650012828525639e-19,-7.504731764849915e-5,0.00027017034353459804,-0.000135085171767299,4.008355856934939e-21,-1.5321521666664544e-20
