Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,2.2949591147456195e-5,2.2949591147457652e-5,0.00014567032008752027,0.0006568289392223403,0.00065682893922234,2.564815759450322e-5,2.5648157594502704e-5,-0.00045594394268533723,0.0001795161300662742,0.00017951613006627438,9.805194740549484e-5,-0.00039220778962197945
2,2.0654632032711062e-5,2.065463203271145e-5,0.00013110328807876867,0.0005911460453001068,0.000591146045300106,2.3083341835053152e-5,2.3083341835052847e-5,-0.0004103495484168035,0.00016156451705964656,0.0001615645170596469,8.824675266494535e-5,-0.00035298701065978173
3,1.858916882943995e-5,1.858916882944041e-5,0.00011799295927089178,0.0005320314407700964,0.0005320314407700953,2.0775007651547846e-5,2.0775007651547588e-5,-0.0003693145935751231,0.000145408065353682,0.0001454080653536822,7.942207739845083e-5,-0.0003176883095938036
4,1.6730251946495958e-5,1.6730251946496452e-5,0.00010619366334380263,0.0004788282966930869,0.00047882829669308567,1.8697506886393072e-5,1.8697506886392855e-5,-0.00033238313421761077,0.00013086725881831382,0.00013086725881831393,7.147986965860575e-5,-0.00028591947863442326
5,1.5057226751846363e-5,1.505722675184689e-5,9.557429700942236e-5,0.00043094546702377844,0.0004309454670237771,1.6827756197753768e-5,1.6827756197753595e-5,-0.00029914482079584963,0.00011778053293648246,0.00011778053293648254,6.433188269274517e-5,-0.00025732753077098105
6,1.3551504076661726e-5,1.355150407666227e-5,8.601686730848016e-5,0.0003878509203214007,0.00038785092032139935,1.5144980577978398e-5,1.5144980577978251e-5,-0.00026923033871626464,0.00010600247964283427,0.00010600247964283426,5.7898694423470665e-5,-0.00023159477769388296
7,1.2196353668995552e-5,1.2196353668996106e-5,7.741518057763214e-5,0.00034906582828926077,0.0003490658282892594,1.3630482520180565e-5,1.3630482520180446e-5,-0.00024230730484463815,9.540223167855087e-5,9.540223167855082e-5,5.21088249811236e-5,-0.0002084352999244947
8,1.0976718302095997e-5,1.0976718302096556e-5,6.967366251986894e-5,0.00031415924546033484,0.0003141592454603334,1.2267434268162513e-5,1.2267434268162417e-5,-0.00021807657436017432,8.58620085106958e-5,8.586200851069574e-5,4.689794248301124e-5,-0.00018759176993204526
9,9.879046471886397e-6,9.879046471886953e-6,6.270629626788206e-5,0.00028274332091430144,0.0002827433209143001,1.1040690841346268e-5,1.104069084134619e-5,-0.00019626891692415687,7.727580765962624e-5,7.727580765962617e-5,4.2208148234710124e-5,-0.00016883259293884077
10,8.891141824697758e-6,8.891141824698305e-6,5.6435666641093847e-5,0.0002544689888228714,0.00025446898882287004,9.936621757211644e-6,9.936621757211585e-6,-0.00017664202523174114,6.954822689366365e-5,6.954822689366353e-5,3.798733341123911e-5,-0.0001519493336449567
11,8.002027642227981e-6,8.002027642228518e-6,5.0792099976984466e-5,0.00022902208994058436,0.00022902208994058303,8.942959581490482e-6,8.942959581490438e-6,-0.00015897782270856702,6.259340420429731e-5,6.259340420429716e-5,3.41886000701152e-5,-0.00013675440028046107
12,7.201824878005185e-6,7.201824878005703e-6,4.5712889979286026e-5,0.000206119880946526,0.0002061198809465247,8.04866362334144e-6,8.048663623341404e-6,-0.0001430800404377103,5.633406378386758e-5,5.633406378386745e-5,3.076974006310368e-5,-0.00012307896025241498
13,6.481642390204665e-6,6.481642390205167e-6,4.114160098135742e-5,0.00018550789285187347,0.00018550789285187223,7.243797261007296e-6,7.243797261007275e-6,-0.00012877203639393925,5.0700657405480835e-5,5.070065740548069e-5,2.7692766056793312e-5,-0.00011077106422717352
14,5.8334781511841985e-6,5.833478151184681e-6,3.7027440883221685e-5,0.0001669571035666862,0.000166957103566685,6.5194175349065684e-6,6.5194175349065566e-6,-0.0001158948327545453,4.563059166493276e-5,4.563059166493262e-5,2.492348945111398e-5,-9.969395780445619e-5
15,5.250130336065779e-6,5.250130336066242e-6,3.3324696794899525e-5,0.00015026139321001766,0.0001502613932100165,5.867475781415914e-6,5.867475781415909e-6,-0.00010430534947909075,4.10675324984395e-5,4.106753249843935e-5,2.243114050600258e-5,-8.972456202401059e-5
16,4.7251173024592e-6,4.725117302459643e-6,2.9992227115409572e-5,0.00013523525388901595,0.00013523525388901483,5.280728203274324e-6,5.280728203274325e-6,-9.387481453118166e-5,3.696077924859556e-5,3.696077924859541e-5,2.0188026455402322e-5,-8.075210582160952e-5
17,4.25260557221328e-6,4.252605572213701e-6,2.6993004403868614e-5,0.0001217117285001144,0.00012171172850011334,4.7526553829468934e-6,4.7526553829468985e-6,-8.448733307806348e-5,3.326470132373601e-5,3.326470132373587e-5,1.8169223809862094e-5,-7.267689523944858e-5
18,3.8273450149919524e-6,3.8273450149923506e-6,2.4293703963481755e-5,0.00010954055565010301,0.00010954055565010202,4.277389844652205e-6,4.277389844652214e-6,-7.603859977025713e-5,2.9938231191362418e-5,2.9938231191362275e-5,1.6352301428875884e-5,-6.540920571550374e-5
19,3.4446105134927567e-6,3.4446105134931345e-6,2.1864333567133583e-5,9.858650008509274e-5,9.858650008509181e-5,3.8496508601869866e-6,3.849650860186998e-6,-6.843473979323142e-5,2.6944408072226185e-5,2.6944408072226043e-5,1.4717071285988297e-5,-5.886828514395338e-5
20,3.100149462143481e-6,3.1001494621438375e-6,1.9677900210420226e-5,8.872785007658351e-5,8.872785007658262e-5,3.4646857741682893e-6,3.4646857741683032e-6,-6.159126581390828e-5,2.4249967265003575e-5,2.4249967265003436e-5,1.3245364157389467e-5,-5.298145662955805e-5
