Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,0.009999999999999997,-1.877701620502812e-20,5.683652828354795e-19,1.164896089978501e-18,-1.2681696791061558e-18,3.2173667382779597e-19,-3.076539116740249e-19,4.356624702291236e-19,-6.059193152455356e-19,1.3057237115162118e-18,4.264817762260145e-20,-2.025990893003086e-19
2,0.008999999999999996,8.067465704146324e-19,1.311140058808653e-18,2.1877369855096436e-18,-1.5291410729526829e-18,4.954744776948058e-19,-2.6186690754259983e-19,3.260011261645122e-19,-1.3329213976064854e-18,2.0108145157349663e-18,7.487268876706511e-20,-3.3329564447278715e-19
3,0.008099999999999996,1.4673532098724111e-18,1.899676226758837e-18,2.994360741034773e-18,-1.725236491238843e-18,6.312473540501357e-19,-2.2216076512071954e-19,2.339154262105318e-19,-1.90846387034279e-18,2.5618299219948076e-18,1.0022581590641004e-19,-4.35826897717767e-19
4,0.007289999999999996,1.987771055734488e-18,2.3573937605308973e-18,3.617782375599779e-18,-1.866821415138244e-18,7.349109103574515e-19,-1.877771821077893e-19,1.5698685498570233e-19,-2.355568634555769e-18,2.9825341018453307e-18,1.1975959073021534e-19,-5.145189438690229e-19
5,0.006560999999999996,2.3894318003254254e-18,2.704571025280957e-18,4.086576075841437e-18,-1.9628369893453766e-18,8.115292818628027e-19,-1.580487080462379e-19,9.310484374373344e-20,-2.694167807222724e-18,3.293479146505801e-18,1.3438435243019546e-19,-5.731143118128502e-19
6,0.005904899999999996,2.6908826854408303e-18,2.9587388994756957e-18,4.425433212278766e-18,-2.0209812345597004e-18,8.6547486996350915e-19,-1.3238815697591884e-19,4.042936620030128e-20,-2.94149145901073e-18,3.512409841215724e-18,1.4488656588287742e-19,-6.148454167292216e-19
7,0.005314409999999996,2.9081490755299e-18,3.135027488578677e-18,4.6556531606702145e-18,-2.0478682608377053e-18,9.005160476254463e-19,-1.102792290392012e-19,-2.6420642718817917e-21,-3.1124087023689076e-18,3.654619605518604e-18,1.5194449312072102e-19,-6.424991575441904e-19
8,0.004782968999999996,3.0550533607467474e-18,3.246470970866305e-18,4.7955747872605866e-18,-2.0491680695145124e-18,9.19894241055361e-19,-9.126820512006792e-20,-3.7503502311631264e-20,-3.219727582465342e-18,3.7332633185487515e-18,1.5614196925216715e-19,-6.584736960288731e-19
9,0.004304672099999996,3.1434952981649263e-18,3.3042754818106207e-18,4.860955556926182e-18,-2.029729233847581e-18,9.263916353230382e-19,-7.495659369436928e-20,-6.536623210071203e-20,-3.2744585995188007e-18,3.759632092917683e-18,1.5798050522611684e-19,-6.648283352411775e-19
10,0.003874204889999996,3.183698314492002e-18,3.31805438085741e-18,4.865304424786052e-18,-1.993686484618891e-18,9.223906083266264e-19,-6.099462250260968e-20,-8.728138090886035e-20,-3.286046137336914e-18,3.74339447922734e-18,1.578899143127549e-19,-6.633273096507322e-19
11,0.003486784400999996,3.1844257745720133e-18,3.2960347452767354e-18,4.820173963504687e-18,-1.944554992897463e-18,9.099258703762666e-19,-4.9075479612258294e-20,-1.0415983763437188e-19,-3.2625715815962167e-18,3.69280806734589e-18,1.5623763652980419e-19,-6.554782058259642e-19
12,0.003138105960899996,3.1531707594911025e-18,3.2452384930036215e-18,4.735416550231735e-18,-1.8853129346741316e-18,8.907301739327126e-19,-3.8930219074951076e-20,-1.1678978920569252e-19,-3.2109314756302894e-18,3.614904993048456e-18,1.533369151603161e-19,-6.425656496696425e-19
13,0.002824295364809996,3.0963224896806536e-18,3.1716411437323626e-18,4.619408879978326e-18,-1.8184737381664918e-18,8.662743580741065e-19,-3.0323255848982714e-20,-1.258521520864053e-19,-3.1369936750415854e-18,3.5156544529370495e-18,1.4945396169942755e-19,-6.256808226863255e-19
14,0.0025418658283289965,3.0193121662373836e-18,3.0803108793853194e-18,4.4792485782732814e-18,-1.7461492516136386e-18,8.378024036478946e-19,-2.304838307745851e-20,-1.3193414449891861e-19,-3.0457341198143196e-18,3.4001049709174398e-18,1.4481422977911358e-19,-6.057473046029756e-19
15,0.0022876792454960965,2.926740682585961e-18,2.975530256470361e-18,4.320926248109463e-18,-1.6701049249896913e-18,8.063620965261839e-19,-1.6925252301749315e-20,-1.355412169080652e-19,-2.941356538882091e-18,3.2725088407723817e-18,1.3960790462586812e-19,-5.835436819094324e-19
16,0.0020589113209464865,2.822490374002449e-18,2.8609026493445414e-18,4.149475898195675e-18,-1.5918079711743968e-18,7.728318267923364e-19,-1.1796263850407372e-20,-1.3710753339039333e-19,-2.827397132938165e-18,3.1364308869471608e-18,1.3399470220548062e-19,-5.59723310708568e-19
17,0.0018530201888518377,2.7098227203097797e-18,2.7394452610791817e-18,3.96910635578355e-18,-1.5124693588722643e-18,7.379439900399966e-19,-7.52382056631632e-21,-1.3700517440717516e-19,-2.706816042794203e-18,2.9948434354792603e-18,1.2810806122291193e-19,-5.348315769287822e-19
18,0.0016677181699666537,2.59146369361562e-18,2.613670323973449e-18,3.783315962871894e-18,-1.4330803893188144e-18,7.023054023702013e-19,-3.9879033005393995e-21,-1.3555221188669668e-19,-2.582077199349652e-18,2.8502091654354685e-18,1.2205880141480218e-19,-5.09320956797868e-19
19,0.0015009463529699883,2.4696782450571943e-18,2.4856559216780703e-18,3.594992584984733e-18,-1.354444520087332e-18,6.664150923339652e-19,-1.0839312822546977e-21,-1.3301979012624216e-19,-2.4552179641660688e-18,2.7045533150456426e-18,1.1593831295608527e-19,-4.835641449238488e-19
20,0.0013508517176729893,2.3463352492742978e-18,2.357107696602033e-18,3.4065007230462853e-18,-1.2772050208089579e-18,6.306797902812742e-19,1.2791253653784607e-21,-1.2963833059901156e-19,-2.327909804025706e-18,2.5595265430794266e-18,1.098213341749637e-19,-4.5786548585665475e-19
