Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,-2.155850756637338e-20,-7.897876329604095e-19,1.9900160830498507e-19,-4.311701513274676e-20,-9.950080415249253e-21,-0.00011111111111111106,-0.00011111111111111102,0.0011111111111111115,-2.6533547773998008e-20,-5.771046640844567e-19,3.316693471749751e-21,2.6533547773998008e-20
2,2.1824581587785073e-19,9.955333149641e-19,6.1265923093977525e-19,1.3200768489845063e-20,-3.858951723359824e-19,-9.999999999999995e-5,-9.999999999999982e-5,0.0010000000000000005,4.1622324320784705e-19,-5.472355145165722e-19,7.865608616600555e-21,-1.2772743039051755e-22
3,2.0878597239128813e-19,9.06221658999679e-19,4.972839056178687e-19,-1.597095584947216e-20,-3.4873760130583403e-19,-8.999999999999997e-5,-8.999999999999984e-5,0.0009000000000000003,4.071542481340004e-19,-5.741117912133791e-19,6.28396378274068e-21,-1.7238959288351e-21
4,1.9903563944325951e-19,8.24817001078501e-19,3.988570530509457e-19,-3.944034300582436e-20,-3.1515259275835548e-19,-8.099999999999998e-5,-8.099999999999987e-5,0.0008100000000000001,3.957368196428445e-19,-5.901404574256587e-19,4.939991829486774e-21,-2.9995534532868583e-21
5,1.8914751336092378e-19,7.50631058151562e-19,3.1514273194122864e-19,-5.805614317241142e-20,-2.847972099073143e-19,-7.289999999999998e-5,-7.289999999999989e-5,0.000729,3.825313343685798e-19,-5.972222724833486e-19,3.8019746290562416e-21,-4.002840513559912e-21
6,1.792466561006226e-19,6.8303413379922575e-19,2.4418270452294555e-19,-7.255437987562282e-20,-2.5736137769889784e-19,-6.560999999999999e-5,-6.560999999999991e-5,0.0006561,3.680095779527397e-19,-5.969863199552442e-19,2.8421609504169488e-21,-4.7754746272454856e-21
7,1.6943449515877242e-19,6.214502837358411e-19,1.8426325526890672e-19,-8.357240780646783e-20,-2.325647398330915e-19,-5.9049e-5,-5.904899999999993e-5,0.0005904899999999998,3.525668594763817e-19,-5.90825335207927e-19,2.036290261214952e-21,-5.3535535130583425e-21
8,1.5979229984428609e-19,5.653528623471412e-19,1.3388586882044626e-19,-9.166128635238763e-20,-2.1015381576345746e-19,-5.3144100000000005e-5,-5.314409999999994e-5,0.0005314409999999999,3.3653258891576795e-19,-5.799266842105209e-19,1.363172100349184e-21,-5.768261875436174e-21
9,1.503841986411093e-19,5.142604223988229e-19,9.17413271089889e-20,-9.729666511105877e-20,-1.8989942910941932e-19,-4.7829690000000007e-5,-4.782968999999996e-5,0.0004782968999999998,3.201795038725131e-19,-5.652995100605167e-19,8.043146690444201e-22,-6.046493030207853e-21
10,1.41259794680125e-19,4.677329418166968e-19,5.668683505161842e-20,-1.0088835525447183e-19,-1.715943816285542e-19,-4.3046721000000007e-5,-4.3046720999999966e-5,0.0004304672099999998,3.0373170994875153e-19,-5.477985038984081e-19,3.4359700299711695e-22,-6.211395335270833e-21
