Asset,Shock,Variance_Share
R_5,eps_G_5,73.8858374637654
R_5,eps_a_4,0.920563234975043
R_5,eps_a_basket_2,5.09258590197302
R_5,eps_mp_1,5.772503834907853
R_5,eps_G_1,0.005505958791056539
R_5,eps_a_basket_1,0.3182866188733124
R_5,eps_a_1,0.0032011708418863897
R_5,eps_a_3,0.12415885251557071
R_5,eps_G_2,0.005505958791056536
R_5,eps_G_4,6.985636203974721
R_5,eps_a_5,6.82322925327594
R_5,eps_a_2,0.003201170841886528
R_5,eps_G_3,0.05978437647327924
R_3,eps_G_5,5.719045854377425
R_3,eps_a_4,0.42719481719921004
R_3,eps_a_basket_2,2.0391606893948033
R_3,eps_mp_1,82.47244836611031
R_3,eps_G_1,0.0069818244729111635
R_3,eps_a_basket_1,0.12744754308717474
R_3,eps_a_1,0.008720298825415201
R_3,eps_a_3,2.7557633578001033
R_3,eps_G_2,0.006981824472911245
R_3,eps_G_4,5.719045854377425
R_3,eps_a_5,0.42719481719921076
R_3,eps_a_2,0.008720298825415047
R_3,eps_G_3,0.28129445385767754
R_4,eps_G_5,6.985636203974692
R_4,eps_a_4,6.823229253275969
R_4,eps_a_basket_2,5.092585901973008
R_4,eps_mp_1,5.772503834907844
R_4,eps_G_1,0.005505958791056685
R_4,eps_a_basket_1,0.3182866188733117
R_4,eps_a_1,0.0032011708418864704
R_4,eps_a_3,0.12415885251557005
R_4,eps_G_2,0.005505958791056838
R_4,eps_G_4,73.8858374637654
R_4,eps_a_5,0.9205632349750427
R_4,eps_a_2,0.0032011708418865103
R_4,eps_G_3,0.05978437647327988
R_2,eps_G_5,47.4198093297678
R_2,eps_a_4,0.027991107900482995
R_2,eps_a_basket_2,3.0705925765876554
R_2,eps_mp_1,0.002644321652472049
R_2,eps_G_1,0.15796121203043445
R_2,eps_a_basket_1,0.19191203603672607
R_2,eps_a_1,0.4514751359711724
R_2,eps_a_3,0.009678190398949627
R_2,eps_G_2,0.21325232851749165
R_2,eps_G_4,47.4198093297679
R_2,eps_a_5,0.02799110790048132
R_2,eps_a_2,0.37830427906221603
R_2,eps_G_3,0.6285790444062188
R_1,eps_G_5,42.84292436062062
R_1,eps_a_4,0.025289450453305953
R_1,eps_a_basket_2,2.774223839370106
R_1,eps_mp_1,9.654230876459401
R_1,eps_G_1,0.19266955117564152
R_1,eps_a_basket_1,0.17338898996063146
R_1,eps_a_1,0.3417909485980864
R_1,eps_a_3,0.008744066774422138
R_1,eps_G_2,0.14271504577062147
R_1,eps_G_4,42.84292436062071
R_1,eps_a_5,0.025289450453304357
R_1,eps_a_2,0.407899470168718
R_1,eps_G_3,0.5679095895744405
