Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,1.0428627413639924e-18,-5.814569047111068e-19,3.030966103452323e-19,6.943113712467189e-19,-6.129845818146267e-19,5.276512400720279e-20,2.210439422998103e-19,2.1226974053562782e-20,0.009999999999999998,3.7189884156605202e-19,2.2513830072199692e-20,-1.7897578786977166e-19
2,2.407346313871293e-18,-3.3936107447183923e-19,1.016760265915679e-18,1.1011270000606475e-18,-5.516861236331642e-19,4.780851165616497e-20,-2.4829259127444905e-20,3.4964451186113547e-19,0.009,5.99941908230794e-19,2.783641786111647e-20,-1.958384654105482e-19
3,3.488504544463494e-18,-1.3986984123331393e-19,1.584660224268584e-18,1.4196363893993236e-18,-4.96517511269848e-19,4.331557053526273e-20,-2.237382596922472e-19,6.12166272366658e-19,0.0081,7.786573731469274e-19,3.18693497915279e-20,-2.0753884956447173e-19
4,4.329357665798541e-18,2.3116756102224894e-20,2.028812588291751e-18,1.663432630869658e-18,-4.468657601428635e-19,3.924313252197932e-20,-3.826171675528146e-19,8.186872356524646e-19,0.00729,9.156303259975261e-19,3.481733115724589e-20,-2.1494077223350516e-19
5,4.967155117421944e-18,1.5490473238298922e-19,2.3682878772675994e-18,1.844273260151933e-18,-4.021791841285775e-19,3.5552026406000005e-20,-5.074829112443461e-19,9.777823435574432e-19,0.006561,1.0174221145465361e-18,3.6857022751905006e-20,-2.187869218730872e-19
6,5.434099502062681e-18,2.601039458465786e-19,2.6195799825653605e-18,1.9723114372690563e-18,-3.619612657157201e-19,3.220671018799679e-20,-6.035493345220433e-19,1.0968715575249016e-18,0.0059049,1.0896992421257688e-18,3.814060271605985e-20,-2.197144338624179e-19
7,5.757983458601051e-18,3.4271426929362032e-19,2.7969307880308935e-18,2.056299246361236e-18,-3.257651391441485e-19,2.9174936949534254e-20,-6.753276440317575e-19,1.1823651052632938e-18,0.00531441,1.1373467230436898e-18,3.8798896459864677e-20,-2.1826857423515156e-19
8,5.962749628811121e-18,4.0620148859278805e-19,2.9126156325776662e-18,2.1037663792622894e-18,-2.93188625229734e-19,2.6427451256884274e-20,-7.267147982943085e-19,1.2397912278787584e-18,0.004782969000000001,1.164567715356769e-18,3.8944125427747954e-20,-2.1491474219471436e-19
9,6.068982730393166e-18,4.535641213391861e-19,2.9771942003347757e-18,2.1211770931195194e-18,-2.63869762706761e-19,2.3937713333268968e-20,-7.610712452640318e-19,1.2739084749184973e-18,0.0043046721,1.1749710419767954e-18,3.867231963745594e-20,-2.1004899082001313e-19
10,6.09434171537069e-18,4.873922126503768e-19,2.9997308982146862e-18,2.1140680004126806e-18,-2.374827864360853e-19,2.16816484818079e-20,-7.812892548568673e-19,1.2888043602715008e-18,0.0038742048900000004,1.171648026119249e-18,3.806543375094484e-20,-2.0400724229830503e-19
