Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,2.6734489176394624e-5,2.3009131600595004e-5,4.589918229491292e-5,0.00039866205494324574,0.00039866205494324547,-3.560783970252546e-5,3.889931181347043e-5,-5.695371795522779e-6,-9.68578988328404e-6,-9.685789883284082e-6,-2.5361568302676514e-5,0.00010144627321070595
2,2.4061040258755218e-5,2.070821844053561e-5,4.130926406542157e-5,0.0003587958494489214,0.0003587958494489209,-3.204705573227255e-5,3.5009380632123574e-5,-5.125834615970509e-6,-8.717210894955638e-6,-8.717210894955758e-6,-2.282541147240884e-5,9.130164588963534e-5
3,2.165493623287969e-5,1.8637396596482093e-5,3.71783376588794e-5,0.0003229162645040293,0.0003229162645040288,-2.8842350159045293e-5,3.150844256891124e-5,-4.61325115437346e-6,-7.845489805460055e-6,-7.845489805460219e-6,-2.0542870325167957e-5,8.217148130067181e-5
4,1.9489442609591718e-5,1.6773656936833928e-5,3.346050389299145e-5,0.0002906246380536265,0.00029062463805362585,-2.595811514314076e-5,2.8357598312020137e-5,-4.151926038936117e-6,-7.060940824914032e-6,-7.06094082491423e-6,-1.8488583292651162e-5,7.395433317060462e-5
5,1.7540498348632544e-5,1.5096291243150576e-5,3.01144535036923e-5,0.00026156217424826394,0.00026156217424826324,-2.3362303628826682e-5,2.552183848081814e-5,-3.7367334350425067e-6,-6.354846742422613e-6,-6.3548467424228355e-6,-1.6639724963386046e-5,6.655889985354417e-5
6,1.5786448513769284e-5,1.3586662118835554e-5,2.710300815332306e-5,0.0002354059568234376,0.00023540595682343686,-2.102607326594401e-5,2.296965463273634e-5,-3.363060091538258e-6,-5.719362068180338e-6,-5.719362068180578e-6,-1.497575246704744e-5,5.990300986818977e-5
7,1.4207803662392355e-5,1.2227995906952031e-5,2.4392707337990747e-5,0.0002118653611410939,0.00021186536114109312,-1.8923465939349608e-5,2.067268916946272e-5,-3.0267540823844336e-6,-5.147425861362292e-6,-5.147425861362543e-6,-1.3478177220342697e-5,5.3912708881370794e-5
8,1.2787023296153114e-5,1.1005196316256856e-5,2.1953436604191668e-5,0.0001906788250269846,0.0001906788250269838,-1.7031119345414648e-5,1.860542025251646e-5,-2.724078674145992e-6,-4.632683275226052e-6,-4.632683275226311e-6,-1.2130359498308427e-5,4.852143799323372e-5
9,1.1508320966537805e-5,9.904676684631196e-6,1.97580929437725e-5,0.0001716109425242862,0.00017161094252428542,-1.532800741087318e-5,1.6744878227264828e-5,-2.451670806731394e-6,-4.1694149477034375e-6,-4.1694149477036976e-6,-1.0917323548477585e-5,4.3669294193910354e-5
10,1.0357488869884018e-5,8.914209016168102e-6,1.7782283649395242e-5,0.00015444984827185765,0.00015444984827185686,-1.3795206669785861e-5,1.507039040453836e-5,-2.2065037260582557e-6,-3.752473452933083e-6,-3.7524734529333455e-6,-9.825591193629826e-6,3.9302364774519324e-5
11,9.321739982895615e-6,8.022788114551312e-6,1.6004055284455715e-5,0.0001390048634446719,0.00013900486344467115,-1.2415686002807274e-5,1.3563351364084531e-5,-1.9858533534524312e-6,-3.377226107639767e-6,-3.3772261076400265e-6,-8.843032074266843e-6,3.5372128297067393e-5
12,8.38956598460605e-6,7.2205093030962e-6,1.4403649756010137e-5,0.00012510437710020478,0.00012510437710020402,-1.1174117402526545e-5,1.2207016227676087e-5,-1.787268018107189e-6,-3.0395034968757824e-6,-3.039503496876038e-6,-7.95872886684016e-6,3.183491546736066e-5
13,7.5506093861454425e-6,6.498458372786596e-6,1.2963284780409121e-5,0.00011259393939018434,0.0001125939393901836,-1.0056705662273891e-5,1.0986314604908486e-5,-1.608541216296471e-6,-2.7355531471881973e-6,-2.7355531471884463e-6,-7.162855980156142e-6,2.8651423920624597e-5
14,6.795548447530898e-6,5.848612535507952e-6,1.1666956302368207e-5,0.00010133454545116595,0.00010133454545116523,-9.051035096046502e-6,9.887683144417647e-6,-1.4476870946668247e-6,-2.461997832469372e-6,-2.4619978324696125e-6,-6.446570382140528e-6,2.578628152856214e-5
15,6.1159936027778065e-6,5.26375128195717e-6,1.0500260672131383e-5,9.12010909060494e-5,9.12010909060487e-5,-8.14593158644185e-6,8.89891482997589e-6,-1.302918385200143e-6,-2.2157980492224288e-6,-2.2157980492226617e-6,-5.801913343926475e-6,2.320765337570593e-5
16,5.504394242500024e-6,4.737376153761466e-6,9.450234604918242e-6,8.208098181544448e-5,8.208098181544382e-5,-7.331338427797663e-6,8.009023346978306e-6,-1.172626546680129e-6,-1.994218244300181e-6,-1.9942182443004045e-6,-5.221722009533827e-6,2.0886888038135336e-5
17,4.95395481825002e-6,4.263638538385331e-6,8.505211144426415e-6,7.387288363390007e-5,7.387288363389942e-5,-6.598204585017896e-6,7.208121012280478e-6,-1.0553638920121168e-6,-1.7947964198701584e-6,-1.7947964198703725e-6,-4.6995498085804445e-6,1.8798199234321805e-5
