Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,2.657747032955143e-5,2.6577470329552082e-5,8.757719189631318e-5,0.0009466733384722885,0.003078773670113954,2.0265232462187435e-5,2.026523246218699e-5,0.00012620774547777945,0.0003436560364028123,-0.0009356041625821887,0.00020207209964825026,-0.000808288398593001
2,2.3919723296595946e-5,2.3919723296597067e-5,7.881947270668185e-5,0.0008520060046250605,0.002770896303102558,1.8238709215968773e-5,1.823870921596873e-5,0.0001135869709300014,0.00030929043276253077,-0.0008420437463239701,0.0001818648896834252,-0.0007274595587337011
3,2.1527750966936543e-5,2.152775096693765e-5,7.093752543601368e-5,0.0007668054041625547,0.002493806672792302,1.6414838294371913e-5,1.6414838294371974e-5,0.0001022282738370013,0.00027836138948627773,-0.0007578393716915735,0.00016367840071508267,-0.0006547136028603311
4,1.9374975870243064e-5,1.9374975870244145e-5,6.384377289241233e-5,0.0006901248637462994,0.0022444260055130712,1.4773354464934732e-5,1.4773354464934878e-5,9.200544645330118e-5,0.00025052525053765,-0.0006820554345224164,0.00014731056064357442,-0.000589242242574298
5,1.7437478283218914e-5,1.7437478283219967e-5,5.7459395603171105e-5,0.0006211123773716698,0.002019983404961764,1.3296019018441267e-5,1.3296019018441484e-5,8.280490180797107e-5,0.00022547272548388507,-0.0006138498910701749,0.00013257950457921697,-0.0005303180183168683
6,1.5693730454897165e-5,1.5693730454898184e-5,5.1713456042854004e-5,0.000559001139634503,0.0018179850644655879,1.1966417116597152e-5,1.196641711659742e-5,7.452441162717399e-5,0.00020292545293549666,-0.0005524649019631576,0.00011932155412129528,-0.0004772862164851816
7,1.4124357409407575e-5,1.4124357409408556e-5,4.6542110438568605e-5,0.0005031010256710528,0.0016361865580190287,1.0769775404937446e-5,1.0769775404937754e-5,6.70719704644566e-5,0.00018263290764194704,-0.000497218411766842,0.00010738939870916577,-0.00042955759483666355
8,1.2711921668466932e-5,1.2711921668467875e-5,4.1887899394711756e-5,0.0004527909231039477,0.0014725679022171258,9.692797864443708e-6,9.692797864444046e-6,6.036477341801096e-5,0.0001643696168777524,-0.0004474965705901581,9.665045883824918e-5,-0.00038660183535299726
9,1.1440729501620341e-5,1.1440729501621243e-5,3.769910945524059e-5,0.0004075118307935531,0.0013253111119954134,8.723518077999347e-6,8.723518077999705e-6,5.432829607620988e-5,0.0001479326551899772,-0.00040274691353114244,8.698541295442427e-5,-0.0003479416518176976
10,1.02966565514584e-5,1.0296656551459258e-5,3.3929198509716525e-5,0.0003667606477141979,0.0011927800007958719,7.851166270199418e-6,7.851166270199787e-6,4.88954664685889e-5,0.00013313938967097948,-0.00036247222217802833,7.828687165898184e-5,-0.00031314748663592785
11,9.266990896312644e-6,9.266990896313458e-6,3.0536278658744876e-5,0.0003300845829427782,0.0010735020007162845,7.066049643179483e-6,7.066049643179859e-6,4.4005919821730024e-5,0.00011982545070388156,-0.00032622499996022564,7.045818449308366e-5,-0.00028183273797233513
12,8.340291806681454e-6,8.340291806682226e-6,2.7482650792870398e-5,0.0002970761246485005,0.0009661518006446561,6.359444678861539e-6,6.359444678861918e-6,3.960532783955703e-5,0.00010784290563349342,-0.0002936024999642032,6.34123660437753e-5,-0.00025364946417510167
13,7.5062626260133765e-6,7.506262626014105e-6,2.4734385713583364e-5,0.00026736851218365056,0.0008695366205801904,5.723500210975391e-6,5.723500210975767e-6,3.564479505560133e-5,9.705861507014411e-5,-0.00026424224996778295,5.707112943939777e-5,-0.00022828451775759153
14,6.7556363634121e-6,6.7556363634127855e-6,2.226094714222503e-5,0.00024063166096528564,0.0007825829585221713,5.151150189877855e-6,5.151150189878226e-6,3.20803155500412e-5,8.735275356312972e-5,-0.00023781802497100475,5.136401649545799e-5,-0.00020545606598183243
15,6.080072727070946e-6,6.08007272707159e-6,2.0034852428002535e-5,0.00021656849486875716,0.0007043246626699543,4.636035170890072e-6,4.636035170890437e-6,2.8872283995037086e-5,7.861747820681677e-5,-0.00021403622247390434,4.622761484591219e-5,-0.0001849104593836492
16,5.472065454363899e-6,5.472065454364505e-6,1.8031367185202278e-5,0.0001949116453818815,0.0006338921964029587,4.172431653801068e-6,4.172431653801422e-6,2.598505559553338e-5,7.07557303861351e-5,-0.00019263260022651398,4.160485336132097e-5,-0.00016641941344528428
17,4.924858908927554e-6,4.9248589089281225e-6,1.6228230466682052e-5,0.00017542048084369342,0.0005705029767626628,3.7551884884209646e-6,3.755188488421307e-6,2.3386550035980042e-5,6.368015734752162e-5,-0.00017336934020386268,3.744436802518887e-5,-0.00014977747210075587
18,4.432373018034839e-6,4.432373018035369e-6,1.4605407420013848e-5,0.00015787843275932417,0.0005134526790863966,3.3796696395788717e-6,3.3796696395792e-6,2.1047895032382048e-5,5.731214161276946e-5,-0.0001560324061834765,3.369993122266999e-5,-0.0001347997248906803
19,3.989135716231391e-6,3.989135716231886e-6,1.3144866678012465e-5,0.00014209058948339178,0.0004621074111777568,3.0417026756209866e-6,3.0417026756213013e-6,1.8943105529143846e-5,5.158092745149253e-5,-0.00014042916556512887,3.032993810040299e-5,-0.00012131975240161231
20,3.590222144608284e-6,3.5902221446087476e-6,1.183038001021122e-5,0.00012788153053505265,0.0004158966700599811,2.7375324080588903e-6,2.7375324080591905e-6,1.7048794976229465e-5,4.6422834706343294e-5,-0.00012638624900861603,2.729694429036269e-5,-0.0001091877771614511
