L,c,omega_G_1,omega_a_1,omega_G_2,omega_a_2,omega_G_3,omega_a_3,omega_G_4,omega_a_4,omega_G_5,omega_a_5,omega_mp_1,L_k1,alpha_k1,omega_a_basket_1,L_k2,alpha_k2,omega_a_basket_2,R_1,R_2,R_3,R_4,R_5,b_1_k1,alpha_1_k1,b_2_k1,alpha_2_k1,b_3_k1,alpha_3_k1,b_3_k2,alpha_3_k2,b_4_k2,alpha_4_k2,b_5_k2,alpha_5_k2
0.9277541314518555,1.0,0.0,0.0,0.0,0.0,-9.883310571778616e-83,0.0,0.0,0.0,0.0,0.0,0.0,1.3092106687588978,0.5,0.0,0.6286803626948041,0.5,0.0,0.9355938585850276,0.9355938585850276,0.9058899498121958,0.867960987991589,0.867960987991589,2.0,0.3333333333333333,2.0,0.3333333333333333,0.06980257615542103,0.3333333333333333,0.9301974238445789,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333
0.9269568559195401,1.0,-0.007434135397351745,-0.00412898072704233,-0.006092158870433694,0.0009514567848021222,-0.010651311481521175,0.015278114944570459,0.0026821122652699145,-0.004859002456112804,-0.001895657212196819,0.01990731478737355,-0.03478674212449244,1.2992674444306496,0.49859770280191573,0.0036694931144227966,0.6350127749172421,0.5014022971980843,0.007928859269027099,0.9354770218221111,0.9355692619169178,0.9067811619665469,0.869835170386555,0.8656908876119436,1.9644698443357724,0.3323822223004251,1.9993907841129566,0.3325515702174866,0.08124710494745369,0.33506620748208826,0.9514093748807345,0.33352607042738175,0.5040231683979048,0.32952201719978613,0.49715651418170476,0.33695191237283206
0.9258902891087955,1.0,-0.016303744397263783,0.005259881146697463,-0.013501373287495474,0.012290795289641223,0.0072047804257444874,0.017259424461136798,0.005650516977836792,0.006213799969225319,-0.0020324794544187923,0.01449243181392946,0.01031574754415051,1.3070039341398447,0.4983665158797455,-0.004256473698243772,0.6288645049127279,0.5016334841202545,0.00710330217671161,0.935817607683278,0.9357278364799244,0.9049589957022904,0.8688244887065204,0.866127344360301,2.008685373104424,0.332354798274423,1.9986498626712506,0.33258916207918776,0.06743039507298168,0.3350560396463892,0.9236948134680167,0.333180423984033,0.5084757754667552,0.3321679932312778,0.4969512808183718,0.3346515827846891
0.9346321280312969,1.0,-0.011337141324722902,0.016042646198785246,-0.03251160796661162,0.001263816701110249,0.00248347423176594,0.01127731768638887,0.02054421152974195,-9.172596424364757e-6,-0.0011860810659469114,0.02018056604850488,-0.02679031713326379,1.3031430156625348,0.5000185881723591,0.005013221244675653,0.6429943591817692,0.49998141182764094,0.0011603644493735858,0.9360913669349822,0.9362933950487621,0.9083294034968128,0.8754193930740364,0.8682034837614059,1.972075968734264,0.33304927652516125,1.9967488392033388,0.3325566488752388,0.0833230896309102,0.3343940745995999,0.9439639223487067,0.3325692292866129,0.530816317294613,0.33068692455995413,0.49822087840107965,0.3367438461534329
0.9356858897675538,1.0,-0.01111232572998503,-0.0034808783661081713,-0.03753756766985137,0.007994611278875076,0.017088656357071,0.006024370998055793,0.025279981109524455,0.02489174988119305,0.012716128062239495,0.027168792589994883,0.056592241404593346,1.3192648426747007,0.4980797035222537,-0.005671755038147734,0.6367600578299861,0.5019202964777463,0.008183543629194316,0.9373722125142099,0.9370660412268665,0.9059946819903311,0.8739081585298886,0.8709381259941313,2.055481008831595,0.33283246418887363,1.9962462432330148,0.33321498051037307,0.05812536812988983,0.33395255530075324,0.888700121736931,0.3287966536415541,0.5379199716642867,0.3352601167729027,0.5190741920933593,0.33594322958554323
0.9378524287910436,1.0,-0.0026796177701527805,-0.012714538979753382,-0.02040542999993441,0.002643794247212442,0.019163658998315087,0.003892878422474098,0.01781929156145006,0.030675036579695177,0.02724761964424474,0.024234504484537508,0.040597852096488,1.3161392602024402,0.4958160345300642,-0.011587134542525981,0.6443849403959866,0.5041839654699358,0.018023043714047497,0.9377903891322774,0.9375181135514433,0.9070129062744741,0.8717350064118741,0.8745691321920515,2.0403298903194726,0.3328051415075657,1.9979594570000065,0.3333170859484645,0.06039973337555782,0.3338777725439698,0.9028351463276172,0.3282749212738516,0.5267289373421751,0.3368286191773478,0.5408714294663671,0.33489645954880054
0.9497767897479226,1.0,0.00169283856156506,-0.012541641184349663,-0.018333261314952155,-0.0013107278348199205,0.00936383688684963,-0.012329695540471962,0.014827605098825896,0.03478464391003396,0.04134815881972788,0.01973332945140818,-0.04790099182715757,1.3078155489261247,0.49983693785112726,-0.01563927600379944,0.6636868570511228,0.5001630621488727,-0.003094508256586269,0.9376594421984792,0.9377467517467223,0.9135408636669559,0.8744767007085716,0.8820566035998698,1.9522682920289989,0.3337541769240942,1.9981666738685049,0.3341285407024119,0.096604616659577,0.33211728237349386,0.9531691425449504,0.3265115698260255,0.5222414076482389,0.3390019122557811,0.5620222382295919,0.33448651791819334
0.9559195479015694,1.0,0.013321938547217452,-0.02628783280854083,-0.02148973147339158,-0.002235657897332254,0.013219097184983118,-0.015631207167197455,0.0180689054790115,0.026050267445519984,0.0561850719089814,0.028311253441200553,-0.017067750657134517,1.3153580813449537,0.5010462657845678,-0.013983515832944512,0.6672762123222025,0.49895373421543227,-0.008727207881074821,0.938524415284645,0.9383958242629539,0.9136130103493532,0.8779341226468301,0.8857716328159813,1.9842644431975873,0.3336424003124026,1.9978510268526608,0.33444413947610957,0.08990826107825911,0.33191346021148777,0.9298033090158719,0.326160380448306,0.5271033582185173,0.3365806618764949,0.5842776078634722,0.3372589576751991
0.9498858426469668,1.0,0.022164885091529814,-0.013953685315164303,-0.010676494945402671,0.007552910355047829,0.014113419138255971,-0.015314462163441844,0.004327490206119777,0.013285929545257763,0.05135493582450799,0.02753962702695635,0.030931487468358283,1.3257652321506512,0.5044811178278195,0.007823228590816508,0.6479954199254571,0.49551888217218054,-0.020449781991393124,0.9378511979777311,0.9375634930199487,0.9105297399282571,0.8750848729075925,0.883288177359844,2.0331479759775113,0.3337901336647981,1.9989323505054597,0.3345070201871385,0.07651869892979389,0.3317028461480633,0.895372497429499,0.3275491707690628,0.5064912353091797,0.33408735999321376,0.577032403736762,0.33836346923772337
0.9406598655544458,1.0,0.009130304233671132,-0.0278467600910784,0.00634623317987046,0.009434353064567906,0.006023942945195468,-0.000946679529379742,0.01138762847832513,0.015066699286865702,0.03994743326320725,0.02558001839372637,0.14028891279081518,1.3399696318774363,0.5031406635163947,-0.000741989603356771,0.6264501515077561,0.4968593364836052,-0.015888814982813193,0.9381757534629758,0.9373743189782333,0.9037281713345903,0.8736175027448859,0.8783618126009692,2.1412019432141824,0.33266228360444633,2.000634623317987,0.33390498737630125,0.03767539612280587,0.33343272901925236,0.823240479675418,0.3291634749508986,0.5170814427174877,0.3338412646585216,0.5599211498948109,0.3369952603905798
0.9456164076750286,1.0,0.011623586291170288,-0.02936357671453444,0.019578459127956513,-0.005551916553074444,0.012716965957471942,-0.0012738763259577818,0.010287392727999544,0.015907706429439283,0.03539434250706256,0.028985765573431868,0.04362990805884849,1.3263478517885512,0.5059766643090807,0.002965207043237407,0.6394877945206883,0.4940233356909192,-0.02914201978459449,0.9374516922805822,0.9371147048494928,0.9089172986630866,0.8757586918912629,0.8794387214320198,2.0447922666879657,0.33281326827504215,2.001957845912796,0.3336069902804241,0.07584345150126026,0.3335797414445337,0.8830700336313856,0.3287024443190509,0.5154310890919993,0.3336870689688756,0.5530915137605938,0.3376104867120734
0.9302863724585225,1.0,-0.00032697806598103694,-0.032107912697052654,0.004574809942734792,-0.012776439054851702,0.0077560397135571935,0.00626696941455584,0.017556800155195465,0.02994957001157164,0.017100042818527277,0.03346642233282846,0.20250242422499273,1.3494663823947846,0.5034207214167283,-0.02907244031189163,0.604327830111659,0.4965792785832716,-0.024371717161614827,0.9376133255871035,0.9367167244346398,0.8995954713756247,0.8712976641897657,0.8707503820228375,2.2024697264183946,0.33241361962875515,2.0004574809942732,0.33305800208349523,0.020216343044111414,0.33452837828774956,0.7788324406736074,0.32768806403384393,0.5263352002327932,0.33562844013488946,0.5256500642277909,0.3366834958312665
0.9141874333398554,1.0,-0.010292002368504917,-0.02321837245738384,0.008753843625467503,0.016493356591737635,-0.004456068082350341,-0.01032926105286427,-0.016264920715180937,0.028063522774972913,0.002980497314386746,0.036873020144406694,0.17345835425608716,1.345521784180779,0.5020323050788105,-0.02751889520128387,0.5833570670886669,0.49796769492118953,-0.017041249194373446,0.9356796903878457,0.9347447104710757,0.8983138466635929,0.8595258975625831,0.8625022498431475,2.1724291540192366,0.3332079578195313,2.000875384362547,0.3345316821211686,0.02228591251788232,0.33226036005930004,0.8033645196095603,0.32569198336885485,0.4756026189272286,0.33583258371015745,0.5044707459715801,0.3384754329209876
0.9123102851333942,1.0,-0.016947575786459848,-0.005748986676383764,0.012123433311495182,0.015293676967900583,-0.012203231507942527,-0.03779709890976312,-0.01976052651973408,0.024846560254723263,-0.002469431110705659,0.05040925617722433,0.1678012372149201,1.350274649912242,0.5018566171660541,-0.011704536062170737,0.5777296990984613,0.4981433828339458,-0.012209219845813562,0.9352037442072851,0.9344326716945514,0.8993329949620564,0.8583359975871987,0.8587524986655612,2.1661064796362743,0.3351354871580905,2.0012123433311495,0.33583690927956666,0.022544594369403835,0.3290276035623428,0.8072135221140875,0.3216080740334982,0.4703592102203989,0.3353615585948757,0.4962958533339415,0.343030367371626
0.9352422504544714,1.0,-0.01547882339482421,0.002730843134141337,0.01856296210712833,0.002747222353502816,-0.021970722094064955,-0.048619547259734074,0.006486442001333938,0.0233881274717902,0.020141128679300933,0.027257681252632053,0.07296255129300563,1.3355674858862825,0.5009112937767868,-0.011677264884693998,0.6231197784826877,0.4990887062232133,-0.007475785105107228,0.936765415766818,0.9365061639190625,0.9070048883466757,0.8689390423437743,0.8713553419292636,2.071414668953523,0.33606458000237166,2.001856296210713,0.33606512597635035,0.051627824948219395,0.32787029402127793,0.8710154793399619,0.3228665805431429,0.509729663002001,0.33798627666130227,0.5302116930189514,0.3391471427955548
